# x,y,yaw,v,t
-1.482420513221321512e+00,-8.327535167009572081e-01,1.311322581798355147e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.489135495082248628e+00,-8.349729427338995480e-01,1.311237897313174638e+00,0.000000000000000000e+00,2.228495999997903709e-02
-1.485032928772118677e+00,-8.356537517186538588e-01,1.312300845988548570e+00,0.000000000000000000e+00,4.236345599997548561e-02
-1.482864940791126518e+00,-8.371978994585052014e-01,1.311915218120270676e+00,0.000000000000000000e+00,7.273001599992312549e-02
-1.483401119889694808e+00,-8.345482269165660494e-01,1.312585935088530720e+00,0.000000000000000000e+00,9.600943999998889922e-02
-1.483267859709037850e+00,-8.326235246673763246e-01,1.310889146283810813e+00,0.000000000000000000e+00,1.207555519999914395e-01
-1.480082188247364927e+00,-8.330787580772990308e-01,1.310614311775006424e+00,0.000000000000000000e+00,1.470395839999127929e-01
-1.477302246065292701e+00,-8.352711608568915702e-01,1.309802256817018007e+00,0.000000000000000000e+00,1.709972799999377457e-01
-1.478605692284262085e+00,-8.332124303793184694e-01,1.310726757635432005e+00,0.000000000000000000e+00,2.014521280000280967e-01
-1.483355246978395048e+00,-8.341292112809863823e-01,1.311519385058498965e+00,0.000000000000000000e+00,2.244943999999122752e-01
-1.482887007878786356e+00,-8.346836847064571518e-01,1.312360322056590478e+00,0.000000000000000000e+00,2.556512959999963641e-01
-1.480746461048261908e+00,-8.348988669920660577e-01,1.310613217265184982e+00,6.723300970873787030e-02,2.753085439999267692e-01
-1.479934635618132654e+00,-8.344763563332828760e-01,1.310241128915364373e+00,8.106796116504853822e-02,2.975636480000503070e-01
-1.479703118767541792e+00,-8.363622131198582554e-01,1.311032734524928411e+00,9.199029126213592589e-02,3.233775679998416308e-01
-1.478939833355163769e+00,-8.352613128437695877e-01,1.311196393554064255e+00,1.684466019417475702e-01,3.344415679998746782e-01
-1.481388146889175861e+00,-8.341142349925387833e-01,1.311734534643171468e+00,1.963592233009708865e-01,3.480459840000094118e-01
-1.481458224646202027e+00,-8.329715821696670464e-01,1.309061962711985716e+00,2.538834951456310773e-01,3.669295039999269648e-01
-1.485741399176544686e+00,-8.284249600216501142e-01,1.310539114681371853e+00,2.871359223300971042e-01,3.899581440000474686e-01
-1.481891961361137877e+00,-8.263544705241834265e-01,1.310980214875259175e+00,3.179611650485437147e-01,4.131074879999232508e-01
-1.487133283878488532e+00,-8.232326540002206094e-01,1.308147144239769855e+00,3.533980582524272052e-01,4.357523839998975745e-01
-1.490709620075475028e+00,-8.206673139091741342e-01,1.312117325622957908e+00,3.492718446601941751e-01,4.574208960000305524e-01
-1.488072806304190809e+00,-8.248137777080994937e-01,1.312974613314412675e+00,0.000000000000000000e+00,4.789368960000501829e-01
-1.487728716972373411e+00,-8.275474657156726144e-01,1.311212698815805933e+00,0.000000000000000000e+00,5.004990400000224327e-01
-1.486216323661858629e+00,-8.247539347586911873e-01,1.315236903274075830e+00,0.000000000000000000e+00,5.265723200000138604e-01
-1.487914877062608721e+00,-8.206868498416373114e-01,1.312056616536725340e+00,6.116504854368932237e-02,5.490676160000020900e-01
-1.487977445058035864e+00,-8.204131160104340958e-01,1.312616486807484772e+00,8.300970873786407689e-02,5.705546879999019438e-01
-1.479786331278953870e+00,-8.221120361357683315e-01,1.313909276341824306e+00,9.417475728155340342e-02,5.932290559999273682e-01
-1.480955915958915403e+00,-8.212668968106136003e-01,1.314507977717468190e+00,0.000000000000000000e+00,6.137759359999108710e-01
-1.484453219410885039e+00,-8.214149459503915507e-01,1.315322192082168495e+00,0.000000000000000000e+00,6.352149760000429524e-01
-1.481130185573599656e+00,-8.186398264467008579e-01,1.314430056160931226e+00,0.000000000000000000e+00,6.569065599999248661e-01
-1.474580287788565425e+00,-8.173235205031075257e-01,1.314490018238309244e+00,0.000000000000000000e+00,6.776288639998711005e-01
-1.475478086265123112e+00,-8.218438668979981543e-01,1.315420073167405723e+00,0.000000000000000000e+00,7.000920319999295316e-01
-1.480318581564970426e+00,-8.195792513859045947e-01,1.316581816416664719e+00,0.000000000000000000e+00,7.215983359999427194e-01
-1.484021535448963203e+00,-8.166620965259597797e-01,1.314176466061213855e+00,1.101941747572815489e-01,7.463823680000132299e-01
-1.485992066120546129e+00,-8.135398003101811382e-01,1.313201937146865728e+00,1.655339805825242760e-01,7.682186560000445752e-01
-1.488038120765105443e+00,-8.083744157550434295e-01,1.313665882346146230e+00,1.917475728155339787e-01,7.946751039999071509e-01
-1.482905533139385890e+00,-8.063377071598832879e-01,1.314079133396656385e+00,2.152912621359223400e-01,8.186278079999738111e-01
-1.483721594298923474e+00,-8.062157240645164702e-01,1.312428905059327189e+00,2.402912621359223344e-01,8.447469119998913811e-01
-1.486179628976026512e+00,-8.061820492037991004e-01,1.314453755194001427e+00,2.817961165048543659e-01,8.664486400000441790e-01
-1.480440322245007767e+00,-8.081635898888989145e-01,1.314233343357956274e+00,3.419902912621359259e-01,8.878984000000400556e-01
-1.488114476291724442e+00,-8.064371351890877726e-01,1.313508833683742605e+00,3.657766990291262399e-01,9.095743999998830986e-01
-1.488046960574429534e+00,-8.033048916848432031e-01,1.315183685968965621e+00,3.856796116504854210e-01,9.328516799998851639e-01
-1.477511780249118445e+00,-7.973478862092756581e-01,1.312764299838798276e+00,4.026699029126213358e-01,9.569540799998321745e-01
-1.468759786890965202e+00,-7.719563602125422141e-01,1.317106117249327024e+00,4.400485436893203928e-01,9.847571840000455268e-01
