# x,y,theta,velocity
3.971491813659667969e+00,6.173712015151977539e-01,-2.046781063079833984e+00,1.682735443115234375e+00
3.922062397003173828e+00,5.310558080673217773e-01,-2.135301351547241211e+00,1.682735443115234375e+00
3.865203142166137695e+00,4.494419395923614502e-01,-2.222509145736694336e+00,1.682735443115234375e+00
3.801638603210449219e+00,3.729301691055297852e-01,-2.304619312286376953e+00,1.687354803085327148e+00
3.732202529907226562e+00,3.016992807388305664e-01,-2.381395578384399414e+00,1.696985483169555664e+00
3.625397443771362305e+00,2.384118884801864624e-01,-2.818312644958496094e+00,2.000000000000000000e+00
3.529310703277587891e+00,2.085760086774826050e-01,-2.865698814392089844e+00,2.000000000000000000e+00
3.431843996047973633e+00,1.836142539978027344e-01,-2.915503501892089844e+00,2.000000000000000000e+00
3.333266735076904297e+00,1.634816527366638184e-01,-2.963933467864990234e+00,2.000000000000000000e+00
3.233842611312866211e+00,1.480626612901687622e-01,-3.010466814041137695e+00,2.000000000000000000e+00
3.133820056915283203e+00,1.371780931949615479e-01,-3.054675579071044922e+00,2.000000000000000000e+00
3.033401489257812500e+00,1.305969208478927612e-01,-3.096217393875122070e+00,2.000000000000000000e+00
2.932762145996093750e+00,1.280487924814224243e-01,-3.134827852249145508e+00,2.000000000000000000e+00
2.832074403762817383e+00,1.292349398136138916e-01,3.112832307815551758e+00,2.000000000000000000e+00
2.731489419937133789e+00,1.338390856981277466e-01,3.080445289611816406e+00,2.000000000000000000e+00
2.631118297576904297e+00,1.415382325649261475e-01,3.051192522048950195e+00,2.000000000000000000e+00
2.531023502349853516e+00,1.520107537508010864e-01,3.025044918060302734e+00,2.000000000000000000e+00
2.431230783462524414e+00,1.649407446384429932e-01,3.001949310302734375e+00,2.000000000000000000e+00
2.331742048263549805e+00,1.800214052200317383e-01,2.981817245483398438e+00,2.000000000000000000e+00
2.232549667358398438e+00,1.969580203294754028e-01,2.964531898498535156e+00,2.000000000000000000e+00
2.133637428283691406e+00,2.154691964387893677e-01,2.949968576431274414e+00,2.000000000000000000e+00
2.034981727600097656e+00,2.352870702743530273e-01,2.938005685806274414e+00,2.000000000000000000e+00
1.936548948287963867e+00,2.561575472354888916e-01,2.928531885147094727e+00,2.000000000000000000e+00
1.838296413421630859e+00,2.778388559818267822e-01,2.921457767486572266e+00,2.000000000000000000e+00
1.740175247192382812e+00,3.000983297824859619e-01,2.916723489761352539e+00,2.000000000000000000e+00
1.642133593559265137e+00,3.227086961269378662e-01,2.914294242858886719e+00,2.000000000000000000e+00
1.544119834899902344e+00,3.454450368881225586e-01,2.914142608642578125e+00,2.000000000000000000e+00
1.446084260940551758e+00,3.680853247642517090e-01,2.916221618652343750e+00,2.000000000000000000e+00
1.347978949546813965e+00,3.904134333133697510e-01,2.920454502105712891e+00,2.000000000000000000e+00
1.249758243560791016e+00,4.122223258018493652e-01,2.926744461059570312e+00,2.000000000000000000e+00
1.151378989219665527e+00,4.333147406578063965e-01,2.935025930404663086e+00,2.000000000000000000e+00
1.052802085876464844e+00,4.534956216812133789e-01,2.945329666137695312e+00,2.000000000000000000e+00
9.539943337440490723e-01,4.725591838359832764e-01,2.957805395126342773e+00,2.000000000000000000e+00
8.549305796623229980e-01,4.902769029140472412e-01,2.972640991210937500e+00,2.000000000000000000e+00
7.555957436561584473e-01,5.064015984535217285e-01,2.989821672439575195e+00,2.000000000000000000e+00
6.559872031211853027e-01,5.207047462463378906e-01,3.008914470672607422e+00,2.000000000000000000e+00
5.561174750328063965e-01,5.330243706703186035e-01,3.029031753540039062e+00,2.000000000000000000e+00
4.560160040855407715e-01,5.433092117309570312e-01,3.049028158187866211e+00,2.000000000000000000e+00
3.557270765304565430e-01,5.516265630722045898e-01,3.067926406860351562e+00,2.000000000000000000e+00
2.553010284900665283e-01,5.581219196319580078e-01,3.085206747055053711e+00,2.000000000000000000e+00
1.547847092151641846e-01,5.629689097404479980e-01,3.100799560546875000e+00,2.000000000000000000e+00
5.421395599842071533e-02,5.663294196128845215e-01,3.114871978759765625e+00,2.000000000000000000e+00
-4.638689756393432617e-02,5.683456659317016602e-01,3.127576828002929688e+00,2.000000000000000000e+00
-1.470017582178115845e-01,5.691498517990112305e-01,3.138966798782348633e+00,2.000000000000000000e+00
-2.476193755865097046e-01,5.688741207122802734e-01,-3.134173631668090820e+00,2.000000000000000000e+00
-3.482310175895690918e-01,5.676568746566772461e-01,-3.125528573989868164e+00,2.000000000000000000e+00
-4.488303065299987793e-01,5.656415224075317383e-01,-3.118313789367675781e+00,2.000000000000000000e+00
-5.494136214256286621e-01,5.629727244377136230e-01,-3.112526416778564453e+00,2.000000000000000000e+00
-6.499803066253662109e-01,5.597932338714599609e-01,-3.108144283294677734e+00,2.000000000000000000e+00
-7.505328059196472168e-01,5.562431216239929199e-01,-3.105151891708374023e+00,2.000000000000000000e+00
-8.510757088661193848e-01,5.524619221687316895e-01,-3.103558063507080078e+00,2.000000000000000000e+00
-9.516149163246154785e-01,5.485913157463073730e-01,-3.103394269943237305e+00,2.000000000000000000e+00
-1.052157044410705566e+00,5.447772145271301270e-01,-3.104708433151245117e+00,2.000000000000000000e+00
-1.152708172798156738e+00,5.411707758903503418e-01,-3.107553720474243164e+00,2.000000000000000000e+00
-1.253273129463195801e+00,5.379287600517272949e-01,-3.111985445022583008e+00,2.000000000000000000e+00
-1.353854894638061523e+00,5.352136492729187012e-01,-3.118062734603881836e+00,2.000000000000000000e+00
-1.454453110694885254e+00,5.331941843032836914e-01,-3.125856399536132812e+00,2.000000000000000000e+00
-1.555064797401428223e+00,5.320470929145812988e-01,-3.135454654693603516e+00,2.000000000000000000e+00
-1.655683517456054688e+00,5.319589972496032715e-01,3.136219739913940430e+00,2.000000000000000000e+00
-1.756299734115600586e+00,5.331283211708068848e-01,3.122674703598022461e+00,2.000000000000000000e+00
-1.856896996498107910e+00,5.357660651206970215e-01,3.106965780258178711e+00,2.000000000000000000e+00
-1.957447409629821777e+00,5.400962233543395996e-01,3.088957548141479492e+00,2.000000000000000000e+00
-2.057904958724975586e+00,5.463559031486511230e-01,3.068503856658935547e+00,2.000000000000000000e+00
-2.158200263977050781e+00,5.547952055931091309e-01,3.045443534851074219e+00,2.000000000000000000e+00
-2.258242607116699219e+00,5.656777620315551758e-01,3.019606113433837891e+00,2.000000000000000000e+00
-2.357933044433593750e+00,5.792814493179321289e-01,2.990830898284912109e+00,2.000000000000000000e+00
-2.457165718078613281e+00,5.958970189094543457e-01,2.958976745605468750e+00,2.000000000000000000e+00
-2.555786132812500000e+00,6.158196926116943359e-01,2.923920631408691406e+00,2.000000000000000000e+00
-2.653609752655029297e+00,6.393458247184753418e-01,2.890106678009033203e+00,2.000000000000000000e+00
-2.741508960723876953e+00,6.911554336547851562e-01,2.122410535812377930e+00,1.879863977432250977e+00
-2.790893793106079102e+00,7.775140404701232910e-01,2.058268547058105469e+00,1.872026324272155762e+00
-2.834677457809448242e+00,8.668433427810668945e-01,1.994883775711059570e+00,1.862560510635375977e+00
-2.872740030288696289e+00,9.587565064430236816e-01,1.932004094123840332e+00,1.851621031761169434e+00
-2.904966115951538086e+00,1.052875161170959473e+00,1.869382143020629883e+00,1.839364171028137207e+00
-2.931241273880004883e+00,1.148825287818908691e+00,1.806771278381347656e+00,1.825949668884277344e+00
-2.951452016830444336e+00,1.246233344078063965e+00,1.743923544883728027e+00,1.811543107032775879e+00
-2.965482711791992188e+00,1.344721436500549316e+00,1.680585980415344238e+00,1.796318769454956055e+00
-2.973216533660888672e+00,1.443902373313903809e+00,1.616498470306396484e+00,1.780462384223937988e+00
-2.974534273147583008e+00,1.543375015258789062e+00,1.551390528678894043e+00,1.764174461364746094e+00
-2.969314813613891602e+00,1.642718791961669922e+00,1.484978318214416504e+00,1.747922420501708984e+00
-2.957437515258789062e+00,1.741487145423889160e+00,1.416961073875427246e+00,1.732053756713867188e+00
-2.938783645629882812e+00,1.839201211929321289e+00,1.347017288208007812e+00,1.716922640800476074e+00
-2.913240432739257812e+00,1.935343384742736816e+00,1.274801254272460938e+00,1.702943444252014160e+00
-2.880705833435058594e+00,2.029348373413085938e+00,1.199936509132385254e+00,1.690613627433776855e+00
-2.841096162796020508e+00,2.120595932006835938e+00,1.122017264366149902e+00,1.680515408515930176e+00
-2.794353961944580078e+00,2.208401441574096680e+00,1.040580272674560547e+00,1.673411726951599121e+00
-2.740462541580200195e+00,2.292006254196166992e+00,9.551848769187927246e-01,1.670025348663330078e+00
-2.679484844207763672e+00,2.370588779449462891e+00,8.660013675689697266e-01,1.670025348663330078e+00
-2.611719846725463867e+00,2.443400382995605469e+00,7.772997021675109863e-01,1.670025348663330078e+00
-2.537934541702270508e+00,2.510108947753906250e+00,6.938647627830505371e-01,1.674356818199157715e+00
-2.459022045135498047e+00,2.570672273635864258e+00,6.162366867065429688e-01,1.684267640113830566e+00
-2.375793218612670898e+00,2.625158071517944336e+00,5.438885688781738281e-01,1.698585748672485352e+00
-2.288961887359619141e+00,2.673702955245971680e+00,4.764650166034698486e-01,1.716577529907226562e+00
-2.199153900146484375e+00,2.716497182846069336e+00,4.136286377906799316e-01,1.737691640853881836e+00
-2.106914520263671875e+00,2.753767728805541992e+00,3.550677001476287842e-01,1.761420488357543945e+00
-2.012714624404907227e+00,2.785768032073974609e+00,3.005399107933044434e-01,1.787410974502563477e+00
-1.916961431503295898e+00,2.812772512435913086e+00,2.498511672019958496e-01,1.815407752990722656e+00
-1.820002555847167969e+00,2.835071086883544922e+00,2.028495222330093384e-01,1.845236301422119141e+00
-1.722133636474609375e+00,2.852965116500854492e+00,1.594177633523941040e-01,1.876786947250366211e+00
-1.623602867126464844e+00,2.866765499114990234e+00,1.194681525230407715e-01,1.910001993179321289e+00
-1.524615406990051270e+00,2.876789331436157227e+00,8.293846994638442993e-02,1.944868087768554688e+00
-1.425337910652160645e+00,2.883359432220458984e+00,4.978810623288154602e-02,1.981409430503845215e+00
-1.325901985168457031e+00,2.886802434921264648e+00,1.999466679990291595e-02,2.000000000000000000e+00
-1.226407766342163086e+00,2.887448549270629883e+00,-6.449051201343536377e-03,2.000000000000000000e+00
-1.126927495002746582e+00,2.885630369186401367e+00,-2.953802421689033508e-02,2.000000000000000000e+00
-1.027508378028869629e+00,2.881683588027954102e+00,-4.925780743360519409e-02,2.000000000000000000e+00
-9.281760454177856445e-01,2.875945091247558594e+00,-6.558723002672195435e-02,2.000000000000000000e+00
-8.289378881454467773e-01,2.868754625320434570e+00,-7.850106805562973022e-02,2.000000000000000000e+00
-7.297862768173217773e-01,2.860453605651855469e+00,-8.797253668308258057e-02,2.000000000000000000e+00
-6.307017207145690918e-01,2.851385593414306641e+00,-9.397577494382858276e-02,2.000000000000000000e+00
-5.316566228866577148e-01,2.841895580291748047e+00,-9.648779034614562988e-02,2.000000000000000000e+00
-4.326187968254089355e-01,2.832330465316772461e+00,-9.549098461866378784e-02,2.000000000000000000e+00
-3.335551023483276367e-01,2.823038339614868164e+00,-9.097339957952499390e-02,2.000000000000000000e+00
-2.344352453947067261e-01,2.814368486404418945e+00,-8.293133229017257690e-02,2.000000000000000000e+00
-1.352356225252151489e-01,2.806669473648071289e+00,-7.140507549047470093e-02,2.000000000000000000e+00
-3.594313561916351318e-02,2.800282955169677734e+00,-5.650838837027549744e-02,2.000000000000000000e+00
