# x,y,theta,velocity
2.655752658843994141e+00,-1.717302501201629639e-01,-2.984937906265258789e+00,2.000000000000000000e+00
2.557262897491455078e+00,-1.858433932065963745e-01,-3.013075113296508789e+00,2.000000000000000000e+00
2.458432197570800781e+00,-1.973334401845932007e-01,-3.038115739822387695e+00,2.000000000000000000e+00
2.359358310699462891e+00,-2.064977586269378662e-01,-3.060084819793701172e+00,2.000000000000000000e+00
2.260117053985595703e+00,-2.136351317167282104e-01,-3.079001426696777344e+00,2.000000000000000000e+00
2.138060092926025391e+00,-2.425543367862701416e-01,-2.993184804916381836e+00,2.000000000000000000e+00
2.038982868194580078e+00,-2.555855214595794678e-01,-3.029908657073974609e+00,2.000000000000000000e+00
1.939480662345886230e+00,-2.648251950740814209e-01,-3.070553064346313477e+00,2.000000000000000000e+00
1.839673638343811035e+00,-2.697682380676269531e-01,-3.116371154785156250e+00,2.000000000000000000e+00
1.739743709564208984e+00,-2.698639035224914551e-01,3.115370273590087891e+00,2.000000000000000000e+00
1.639964580535888672e+00,-2.645302116870880127e-01,3.058017969131469727e+00,2.000000000000000000e+00
1.540657520294189453e+00,-2.531864941120147705e-01,2.994839906692504883e+00,2.000000000000000000e+00
1.442116737365722656e+00,-2.352852374315261841e-01,2.925926446914672852e+00,2.000000000000000000e+00
1.345005750656127930e+00,-2.103243917226791382e-01,2.851644515991210938e+00,2.000000000000000000e+00
1.250192165374755859e+00,-1.780233234167098999e-01,2.774585247039794922e+00,2.000000000000000000e+00
1.158326387405395508e+00,-1.385603100061416626e-01,2.700462341308593750e+00,2.000000000000000000e+00
1.069525718688964844e+00,-9.271945804357528687e-02,2.635245084762573242e+00,2.000000000000000000e+00
9.835520386695861816e-01,-4.163515940308570862e-02,2.581453561782836914e+00,2.000000000000000000e+00
9.000908136367797852e-01,1.354056503623723984e-02,2.538982391357421875e+00,2.000000000000000000e+00
8.187584280967712402e-01,7.173884660005569458e-02,2.507241487503051758e+00,2.000000000000000000e+00
7.390595674514770508e-01,1.320273876190185547e-01,2.485759735107421875e+00,2.000000000000000000e+00
6.603783965110778809e-01,1.936042457818984985e-01,2.474536895751953125e+00,2.000000000000000000e+00
5.820357799530029297e-01,2.556793987751007080e-01,2.474235057830810547e+00,2.000000000000000000e+00
5.033622980117797852e-01,3.173270523548126221e-01,2.486007928848266602e+00,2.000000000000000000e+00
4.236849844455718994e-01,3.774597346782684326e-01,2.510953903198242188e+00,1.940835118293762207e+00
3.421337604522705078e-01,4.350389242172241211e-01,2.550438404083251953e+00,1.861380219459533691e+00
2.576921880245208740e-01,4.888788461685180664e-01,2.607788085937500000e+00,1.796480894088745117e+00
1.694803237915039062e-01,5.370838642120361328e-01,2.689411878585815430e+00,1.753345370292663574e+00
7.704708725214004517e-02,5.766267776489257812e-01,2.801066160202026367e+00,1.736175417900085449e+00
-1.940101757645606995e-02,6.040101051330566406e-01,2.938779354095458984e+00,1.736175417900085449e+00
-1.188298761844635010e-01,6.169070005416870117e-01,3.083790540695190430e+00,1.736175417900085449e+00
-2.193506062030792236e-01,6.155804395675659180e-01,-3.069813966751098633e+00,1.740522623062133789e+00
-3.188934326171875000e-01,6.025220155715942383e-01,-2.966588497161865234e+00,1.765449047088623047e+00
-4.163987040519714355e-01,5.807397961616516113e-01,-2.888313531875610352e+00,1.812290430068969727e+00
-5.121930241584777832e-01,5.524888038635253906e-01,-2.830301046371459961e+00,1.876300215721130371e+00
-6.066926121711730957e-01,5.195122957229614258e-01,-2.788745164871215820e+00,1.953081369400024414e+00
-7.001067996025085449e-01,4.832879006862640381e-01,-2.760825634002685547e+00,2.000000000000000000e+00
-7.926394343376159668e-01,4.450773894786834717e-01,-2.744785785675048828e+00,2.000000000000000000e+00
-8.846153020858764648e-01,4.059725105762481689e-01,-2.739656925201416016e+00,2.000000000000000000e+00
-9.764626622200012207e-01,3.669383823871612549e-01,-2.744801759719848633e+00,2.000000000000000000e+00
-1.068657279014587402e+00,3.288560211658477783e-01,-2.759766817092895508e+00,2.000000000000000000e+00
-1.161666274070739746e+00,2.925733029842376709e-01,-2.784611463546752930e+00,2.000000000000000000e+00
-1.255892634391784668e+00,2.590246796607971191e-01,-2.820663928985595703e+00,2.000000000000000000e+00
-1.351621508598327637e+00,2.294283211231231689e-01,-2.871079206466674805e+00,2.000000000000000000e+00
-1.448966503143310547e+00,2.054831385612487793e-01,-2.939950227737426758e+00,1.981647610664367676e+00
-1.547805309295654297e+00,1.893243193626403809e-01,-3.028843641281127930e+00,1.966327905654907227e+00
-1.647693634033203125e+00,1.829814016819000244e-01,-3.133470296859741211e+00,1.963549613952636719e+00
-1.747781515121459961e+00,1.877000033855438232e-01,3.038377761840820312e+00,1.963549613952636719e+00
-1.846861720085144043e+00,2.036118358373641968e-01,2.928647279739379883e+00,1.963549613952636719e+00
-1.943663358688354492e+00,2.300542593002319336e-01,2.824585914611816406e+00,1.967841863632202148e+00
-2.037193536758422852e+00,2.660540938377380371e-01,2.727282285690307617e+00,1.978662610054016113e+00
-2.126867771148681641e+00,3.106212615966796875e-01,2.637037277221679688e+00,1.996007680892944336e+00
-2.212364196777343750e+00,3.627889752388000488e-01,2.553833484649658203e+00,2.000000000000000000e+00
-2.293441534042358398e+00,4.216117858886718750e-01,2.476988315582275391e+00,2.000000000000000000e+00
-2.369885444641113281e+00,4.862082898616790771e-01,2.405392885208129883e+00,2.000000000000000000e+00
-2.441582918167114258e+00,5.558493733406066895e-01,2.338073968887329102e+00,2.000000000000000000e+00
-2.508574485778808594e+00,6.300168633460998535e-01,2.274382114410400391e+00,2.000000000000000000e+00
-2.570909023284912109e+00,7.082780599594116211e-01,2.213619709014892578e+00,2.000000000000000000e+00
-2.628527879714965820e+00,7.901809215545654297e-01,2.154881715774536133e+00,2.000000000000000000e+00
-2.681307554244995117e+00,8.752899169921875000e-01,2.097312927246093750e+00,2.000000000000000000e+00
-2.729113578796386719e+00,9.632322192192077637e-01,2.040263175964355469e+00,2.000000000000000000e+00
-2.771818637847900391e+00,1.053708791732788086e+00,1.983220458030700684e+00,2.000000000000000000e+00
-2.809280157089233398e+00,1.146463632583618164e+00,1.925650238990783691e+00,2.000000000000000000e+00
-2.841308593750000000e+00,1.241246342658996582e+00,1.866906642913818359e+00,2.000000000000000000e+00
-2.867648124694824219e+00,1.337783813476562500e+00,1.806271076202392578e+00,2.000000000000000000e+00
-2.887980222702026367e+00,1.435771107673645020e+00,1.743049263954162598e+00,2.000000000000000000e+00
-2.901936531066894531e+00,1.534869432449340820e+00,1.676620602607727051e+00,2.000000000000000000e+00
-2.909110307693481445e+00,1.634697914123535156e+00,1.606446385383605957e+00,2.000000000000000000e+00
-2.909067392349243164e+00,1.734809398651123047e+00,1.532028198242187500e+00,2.000000000000000000e+00
-2.901354312896728516e+00,1.834658503532409668e+00,1.452896237373352051e+00,2.000000000000000000e+00
-2.885523080825805664e+00,1.933580040931701660e+00,1.368785381317138672e+00,2.000000000000000000e+00
-2.861185550689697266e+00,2.030791521072387695e+00,1.279860734939575195e+00,2.000000000000000000e+00
