# x,y,theta,velocity
2.929120540618896484e+00,2.631211757659912109e+00,-3.368420004844665527e-01,2.000000000000000000e+00
3.022358417510986328e+00,2.596492052078247070e+00,-3.764656484127044678e-01,1.991998791694641113e+00
3.114104032516479492e+00,2.558003902435302734e+00,-4.183350205421447754e-01,1.966001510620117188e+00
3.204108953475952148e+00,2.515606164932250977e+00,-4.625117480754852295e-01,1.941059589385986328e+00
3.292098045349121094e+00,2.469171524047851562e+00,-5.090671181678771973e-01,1.917242169380187988e+00
3.420389890670776367e+00,2.404052019119262695e+00,-4.414628446102142334e-01,2.000000000000000000e+00
3.510454654693603516e+00,2.359439373016357422e+00,-4.768742024898529053e-01,2.000000000000000000e+00
3.598953008651733398e+00,2.311798572540283203e+00,-5.132176876068115234e-01,2.000000000000000000e+00
3.685540199279785156e+00,2.260762691497802734e+00,-5.550394058227539062e-01,2.000000000000000000e+00
3.769747495651245117e+00,2.205895662307739258e+00,-6.039423942565917969e-01,1.970360636711120605e+00
3.850937843322753906e+00,2.146648168563842773e+00,-6.613404154777526855e-01,1.909414649009704590e+00
3.928298234939575195e+00,2.082502603530883789e+00,-7.280064225196838379e-01,1.853223323822021484e+00
4.000957489013671875e+00,2.012930631637573242e+00,-8.054782748222351074e-01,1.803609848022460938e+00
4.067717075347900391e+00,1.937369227409362793e+00,-8.962419033050537109e-01,1.762785911560058594e+00
4.126897335052490234e+00,1.855445623397827148e+00,-1.001860737800598145e+00,1.732237577438354492e+00
4.176509857177734375e+00,1.767238855361938477e+00,-1.122192621231079102e+00,1.712636590003967285e+00
4.197842597961425781e+00,1.640000343322753906e+00,-1.247792243957519531e+00,2.000000000000000000e+00
4.227363586425781250e+00,1.544140338897705078e+00,-1.294263482093811035e+00,2.000000000000000000e+00
4.252598762512207031e+00,1.447063684463500977e+00,-1.339474201202392578e+00,2.000000000000000000e+00
4.273343086242675781e+00,1.348930954933166504e+00,-1.386522531509399414e+00,1.958164453506469727e+00
4.289345264434814453e+00,1.249913692474365234e+00,-1.436100363731384277e+00,1.884425640106201172e+00
4.300272941589355469e+00,1.150211453437805176e+00,-1.489127278327941895e+00,1.806628584861755371e+00
4.305704593658447266e+00,1.050048470497131348e+00,-1.547583341598510742e+00,1.726442575454711914e+00
4.304926872253417969e+00,9.497464895248413086e-01,-1.613602876663208008e+00,1.644427299499511719e+00
4.297119140625000000e+00,8.496112227439880371e-01,-1.689166784286499023e+00,1.562590718269348145e+00
4.281191349029541016e+00,7.501620650291442871e-01,-1.780753135681152344e+00,1.488475441932678223e+00
4.255160808563232422e+00,6.527137160301208496e-01,-1.902213215827941895e+00,1.434193730354309082e+00
4.215729713439941406e+00,5.599266290664672852e-01,-2.066382884979248047e+00,1.406964063644409180e+00
