# time,x,y,theta,speed
1761155972.48259,3.95772886276245,0.577858507633209,-2.10349345207214,1.30302023887634
1761155972.55231,3.91379952430725,0.521286725997925,-2.17673802375793,1.26861464977264
1761155972.61596,3.8761031627655,0.466239869594574,-2.21800541877747,1.20276653766632
1761155972.68265,3.83525228500366,0.414336055517197,-2.26385354995728,1.14425265789032
1761155972.75138,3.79479622840881,0.366497755050659,-2.30571007728577,1.09009110927582
1761155972.81597,3.75020599365234,0.324989646673203,-2.35328269004822,1.06420540809631
1761155972.8826,3.68861174583435,0.282298177480698,-2.42845439910889,1.10783314704895
1761155972.95222,3.59866142272949,0.210237622261047,-2.49447894096375,1.24196767807007
1761155973.01592,3.50450253486633,0.147821977734566,-2.55594348907471,1.27496349811554
1761155973.08262,3.43418145179749,0.0759494751691818,-2.56245398521423,1.25353443622589
1761155973.15191,3.35519003868103,0.0253564771264791,-2.61296224594116,1.28067135810852
1761155973.21591,3.28052711486816,0.00519659789279103,-2.70065546035767,1.3149482011795
1761155973.28265,3.18829584121704,-0.0410321541130543,-2.73489546775818,1.35042655467987
1761155973.35177,3.09969234466553,-0.0720700919628143,-2.78254008293152,1.38763582706451
1761155973.41596,3.01743292808533,-0.087739922106266,-2.83531188964844,1.41444909572601
1761155973.48264,2.89458441734314,-0.115123011171818,-2.9150447845459,1.48457837104797
1761155973.48264,2.83690404891968,-0.117596819996834,-2.9227454662323,1.43896639347076
1761155973.55265,2.75384068489075,-0.163148120045662,-2.90682101249695,1.38937830924988
1761155973.68268,2.63816595077515,-0.159362927079201,-2.99717450141907,1.45144987106323
1761155973.75119,2.53684091567993,-0.174760907888412,-3.02020525932312,1.4488787651062
1761155973.81595,2.43782162666321,-0.176687389612198,-3.05311727523804,1.48340857028961
1761155973.88261,2.29346990585327,-0.207747623324394,-3.01496052742004,1.53085017204285
1761155973.9517,2.20619082450867,-0.213899880647659,-3.04309272766113,1.52565920352936
1761155974.01597,2.09528803825378,-0.207322135567665,-3.10668134689331,1.55149447917938
1761155974.08281,1.99809145927429,-0.220151886343956,-3.09345197677612,1.54493319988251
1761155974.1529,1.89658534526825,-0.224266842007637,-3.10444974899292,1.52683341503143
1761155974.21593,1.7917046546936,-0.231275290250778,-3.09240102767944,1.52137792110443
1761155974.2826,1.68856573104858,-0.224669769406319,-3.13412427902222,1.50615620613098
1761155974.35317,1.59268200397491,-0.228736057877541,-3.13439321517944,1.49269437789917
1761155974.41589,1.5049364566803,-0.231061235070229,-3.13660764694214,1.44888150691986
1761155974.48278,1.38666975498199,-0.231330007314682,-3.13610982894897,1.45397984981537
1761155974.55315,1.30354535579681,-0.239426031708717,-3.12804412841797,1.4090770483017
1761155974.61595,1.2074385881424,-0.221064299345016,3.10660552978516,1.40999829769135
1761155974.68267,1.09083604812622,-0.230641111731529,3.1381402015686,1.4165917634964
1761155974.75259,1.00438177585602,-0.226620778441429,3.12627720832825,1.40646767616272
1761155974.81589,0.912409722805023,-0.219561368227005,3.11118984222412,1.38614118099213
1761155974.88255,0.812677145004272,-0.228635117411613,3.12648940086365,1.37662386894226
1761155974.95223,0.722346127033234,-0.232738256454468,3.13504481315613,1.37996888160706
1761155974.95223,0.666277766227722,-0.2325080037117,3.1349995136261,1.33370399475098
1761155975.01595,0.599462151527405,-0.221655324101448,3.10403156280518,1.2983626127243
1761155975.15271,0.485886007547379,-0.187518715858459,3.02994132041931,1.33923816680908
1761155975.21608,0.401352167129517,-0.179109916090965,3.0355212688446,1.32840585708618
1761155975.28257,0.321460098028183,-0.191958278417587,3.10604023933411,1.33205461502075
1761155975.35321,0.206528931856155,-0.197895988821983,3.13638472557068,1.33469986915588
1761155975.41596,0.100955352187157,-0.199386835098267,-3.13937091827393,1.3508780002594
1761155975.48268,-0.00358790042810142,-0.195206716656685,3.13357949256897,1.36659359931946
1761155975.55312,-0.0922963991761208,-0.187535986304283,3.11478042602539,1.38293671607971
1761155975.61605,-0.186051666736603,-0.179398715496063,3.10310649871826,1.39502477645874
1761155975.68274,-0.292075246572495,-0.184760704636574,3.12038350105286,1.41063892841339
1761155975.75205,-0.430397361516953,-0.178163856267929,3.10626220703125,1.45249807834625
1761155975.81609,-0.546579003334045,-0.174999073147774,3.10178232192993,1.48060548305511
1761155975.88265,-0.623764932155609,-0.153601616621017,3.05039048194885,1.49755883216858
1761155975.95191,-0.753849804401398,-0.162550210952759,3.08763313293457,1.53667461872101
1761155976.01647,-0.853560030460358,-0.157076522707939,3.07650518417358,1.56744003295898
1761155976.08259,-0.947690665721893,-0.151671290397644,3.06251621246338,1.56909596920013
1761155976.15158,-1.02936768531799,-0.139780402183533,3.03022027015686,1.55272912979126
1761155976.21593,-1.1131808757782,-0.124115899205208,3.00055003166199,1.53255641460419
1761155976.28262,-1.26826250553131,-0.0732911303639412,2.93368625640869,1.56381475925446
1761155976.35214,-1.33984327316284,-0.0626351684331894,2.95356607437134,1.5304788351059
1761155976.41595,-1.43007481098175,-0.0533907078206539,2.95855593681335,1.51168131828308
1761155976.4826,-1.55181360244751,-0.0284090898931026,2.92937850952148,1.49924159049988
1761155976.55145,-1.68104350566864,0.0131878452375531,2.86837959289551,1.51397216320038
1761155976.61597,-1.77987158298492,0.0258987247943878,2.88008332252502,1.47833371162415
1761155976.68262,-1.8780620098114,0.0672864839434624,2.78838682174683,1.50600373744965
1761155976.7526,-2.00453996658325,0.127752214670181,2.72538948059082,1.55556619167328
1761155976.81584,-2.09721803665161,0.151595249772072,2.74659943580627,1.52163851261139
