# time,x,y,theta,speed
1761155972.35165,3.98150944709778,0.75690883398056,4.42007207870483,1.27094876766205
1761155972.41629,3.95196270942688,0.686730682849884,4.35933113098145,1.26716613769531
1761155972.48259,3.91227006912231,0.607562065124512,4.28867626190186,1.26410067081451
1761155972.55231,3.86715173721313,0.531542539596558,4.21827697753906,1.26251947879791
1761155972.61596,3.82431316375732,0.469096332788467,4.15799045562744,1.26218354701996
1761155972.68265,3.76968836784363,0.39968204498291,4.08765459060669,1.26208174228668
1761155972.75138,3.71030616760254,0.334258198738098,4.01739311218262,1.26294791698456
1761155972.81597,3.65580582618713,0.281558483839035,3.9572389125824,1.2648777961731
1761155972.8826,3.58869123458862,0.223665073513985,3.89281320571899,1.26855421066284
1761155972.95222,3.51792550086975,0.169712319970131,3.83026266098022,1.27503526210785
1761155973.01592,3.45442819595337,0.12673357129097,3.77729940414429,1.28174614906311
1761155973.08262,3.37752056121826,0.0799305588006973,3.72107338905334,1.29102909564972
1761155973.15191,3.29761791229248,0.0368923060595989,3.66610646247864,1.3017270565033
1761155973.21591,3.2267746925354,0.00318184727802873,3.61890602111816,1.31311893463135
1761155973.28265,3.14174771308899,-0.032941147685051,3.56936764717102,1.32715976238251
1761155973.35177,3.05414605140686,-0.0655858740210533,3.52153611183166,1.34404349327087
1761155973.41596,2.977046251297,-0.0906542986631393,3.48101258277893,1.35926520824432
1761155973.48264,2.88501763343811,-0.117069631814957,3.43932247161865,1.37745499610901
1761155973.55265,2.79071736335754,-0.140304863452911,3.39895629882812,1.39850115776062
1761155973.61625,2.70809197425842,-0.157628625631332,3.36535000801086,1.41653728485107
1761155973.68268,2.60976481437683,-0.175441473722458,3.33178114891052,1.4385644197464
1761155973.75119,2.50952792167664,-0.190427988767624,3.29907250404358,1.45631670951843
1761155973.81595,2.4224796295166,-0.201309531927109,3.27513146400452,1.46738862991333
1761155973.88261,2.31997227668762,-0.211999326944351,3.25070190429687,1.47681200504303
1761155973.9517,2.21668767929077,-0.220353677868843,3.2268054485321,1.48351228237152
1761155974.01597,2.12770771980286,-0.225711852312088,3.20756602287292,1.48769128322601
1761155974.08281,2.02355551719666,-0.230643883347511,3.19141483306885,1.49124801158905
1761155974.1529,1.91913247108459,-0.234093636274338,3.17669892311096,1.49377691745758
1761155974.21593,1.82947421073914,-0.235851228237152,3.16426706314087,1.49535429477692
1761155974.2826,1.72475445270538,-0.236826777458191,3.15296268463135,1.49669671058655
1761155974.35317,1.61995184421539,-0.237356290221214,3.14714646339416,1.49765121936798
1761155974.41589,1.53007411956787,-0.237396404147148,3.14287567138672,1.49824655056
1761155974.48278,1.42517924308777,-0.236958086490631,3.13798427581787,1.49875319004059
1761155974.55315,1.32025754451752,-0.236011102795601,3.1331741809845,1.49911344051361
1761155974.61595,1.23031198978424,-0.234790816903114,3.12902355194092,1.49933815002441
1761155974.68267,1.12536859512329,-0.23289167881012,3.12414741516113,1.49952936172485
1761155974.75259,1.02042412757874,-0.230488836765289,3.11933517456055,1.49966537952423
1761155974.81589,0.930475413799286,-0.228022202849388,3.11518216133118,1.49975025653839
1761155974.88255,0.825543880462647,-0.224669650197029,3.11030435562134,1.49982237815857
1761155974.95223,0.720625340938568,-0.220813691616058,3.10549068450928,1.49987375736237
1761155975.01595,0.630708336830139,-0.21710667014122,3.1013970375061,1.49990570545197
1761155975.08255,0.52579391002655,-0.213013425469398,3.10251784324646,1.49993300437927
1761155975.15271,0.420857965946198,-0.209465757012367,3.10689544677734,1.49995231628418
1761155975.21608,0.33091476559639,-0.20634289085865,3.10667276382446,1.49996435642242
1761155975.28257,0.226000010967255,-0.202168449759483,3.10261702537537,1.49997472763062
1761155975.35321,0.121085986495018,-0.197962313890457,3.10215353965759,1.49998199939728
1761155975.41596,0.0311418008059263,-0.194821983575821,3.10559010505676,1.49998652935028
1761155975.48268,-0.0737873911857605,-0.190993458032608,3.10485601425171,1.49999046325684
1761155975.55312,-0.178694665431976,-0.186597779393196,3.10053706169128,1.4999932050705
1761155975.61605,-0.268597990274429,-0.182436659932137,3.09645009040833,1.49999487400055
1761155975.68274,-0.373462975025177,-0.177121087908745,3.09164547920227,1.49999642372131
1761155975.75205,-0.478300958871841,-0.171296507120132,3.08676624298096,1.49999737739563
1761155975.81609,-0.568139016628265,-0.165903225541115,3.08261156082153,1.49999809265137
1761155975.88265,-0.672920942306519,-0.159142643213272,3.07779717445374,1.49999868869782
1761155975.95191,-0.777668535709381,-0.151869460940361,3.072918176651,1.49999904632568
1761155976.01647,-0.867422699928284,-0.145223662257195,3.06864380836487,1.49999928474426
1761155976.08259,-0.972034454345703,-0.136215806007385,3.05724859237671,1.49999952316284
1761155976.15158,-1.07650279998779,-0.125671878457069,3.04317021369934,1.49999964237213
1761155976.21593,-1.16589224338532,-0.1152198985219,3.02852511405945,1.49999976158142
1761155976.28262,-1.26987254619598,-0.100640803575516,3.00568771362305,1.49999976158142
1761155976.35214,-1.37347054481506,-0.0835554152727127,2.98159861564636,1.49999988079071
1761155976.41595,-1.46189677715302,-0.0668123513460159,2.95954632759094,1.49999988079071
1761155976.4826,-1.5643892288208,-0.0440256893634796,2.92739295959473,1.49999988079071
1761155976.55145,-1.66605281829834,-0.0177869778126478,2.89373683929443,1.5
1761155976.61597,-1.75230991840363,0.00787800364196301,2.86036419868469,1.5
1761155976.68262,-1.85163342952728,0.0419089198112488,2.81754517555237,1.5
1761155976.7526,-1.94919264316559,0.080160565674305,2.77381682395935,1.49109613895416
1761155976.81584,-2.03062677383423,0.116625055670738,2.73116874694824,1.4807037115097
1761155976.8826,-2.12250781059265,0.163420289754868,2.67871379852295,1.46437227725983
1761155976.95218,-2.21072030067444,0.214607506990433,2.62488985061645,1.44941604137421
1761155977.01667,-2.28307604789734,0.262413889169693,2.57394766807556,1.44060480594635
1761155977.08268,-2.36357069015503,0.322567492723465,2.51332449913025,1.43071258068085
1761155977.15219,-2.43975210189819,0.387183427810669,2.45280170440674,1.42407929897308
1761155977.21592,-2.50161027908325,0.445995420217514,2.40119910240173,1.42156863212585
1761155977.28273,-2.5697066783905,0.518454849720001,2.34119081497192,1.41991364955902
1761155977.35199,-2.63317942619324,0.594875037670136,2.28022980690002,1.4187126159668
1761155977.41597,-2.68321180343628,0.663673877716064,2.22274684906006,1.4167959690094
1761155977.48302,-2.73615479469299,0.747378349304199,2.15401244163513,1.4128475189209
1761155977.55383,-2.7831346988678,0.834251403808594,2.08624053001404,1.40854811668396
1761155977.61595,-2.81905126571655,0.910584926605225,2.03323674201965,1.40285301208496
1761155977.68377,-2.85562252998352,1.00147902965546,1.97134625911713,1.39671468734741
1761155977.7524,-2.88559412956238,1.09420645236969,1.90421879291534,1.3873782157898
1761155977.81592,-2.906005859375,1.1746860742569,1.84613454341888,1.38173830509186
1761155977.88283,-2.92369222640991,1.26933169364929,1.77855777740479,1.37021064758301
1761155977.95195,-2.9351167678833,1.36416280269623,1.71447896957397,1.36129581928253
1761155978.016,-2.94002056121826,1.445317029953,1.65956354141235,1.35120332241058
1761155978.08262,-2.93973159790039,1.53952515125275,1.59371912479401,1.34039354324341
1761155978.15159,-2.93317651748657,1.63262104988098,1.52796149253845,1.32772839069366
1761155978.21595,-2.92271900177002,1.71130633354187,1.47205030918121,1.31748020648956
1761155978.28264,-2.90507864952087,1.80135810375214,1.40733349323273,1.30467820167542
1761155978.35224,-2.88177227973938,1.88929963111877,1.34314322471619,1.2938597202301
1761155978.41606,-2.85734963417053,1.9627685546875,1.28730976581573,1.28582239151001
1761155978.48259,-2.82318758964539,2.04569911956787,1.21687078475952,1.27741611003876
1761155978.55229,-2.78332924842834,2.12533903121948,1.14582824707031,1.26751267910004
1761155978.61592,-2.74491024017334,2.19074487686157,1.08520817756653,1.26239621639252
1761155978.68261,-2.69534730911255,2.26358723640442,1.01481413841248,1.25673449039459
1761155978.75137,-2.64092326164246,2.33252501487732,0.944780886173248,1.25361800193787
1761155978.81589,-2.59058141708374,2.3883581161499,0.884874045848846,1.25282895565033
1761155978.8826,-2.52779960632324,2.44955229759216,0.815663933753967,1.25258982181549
1761155978.95247,-2.46143198013306,2.50684833526611,0.752382397651672,1.25312507152557
1761155979.01594,-2.40185046195984,2.55274081230164,0.699408531188965,1.25448501110077
1761155979.08257,-2.32928514480591,2.60233855247498,0.637755632400513,1.25751411914825
1761155979.15267,-2.25355958938599,2.64753437042236,0.57594108581543,1.26226031780243
1761155979.2162,-2.18624782562256,2.6826639175415,0.522829115390778,1.26864063739777
1761155979.28256,-2.10529136657715,2.71984219551086,0.465608835220337,1.2774943113327
1761155979.35138,-2.02183818817139,2.75308632850647,0.411017179489136,1.28945279121399
1761155979.416,-1.94833791255951,2.77823424339294,0.364115208387375,1.30091667175293
1761155979.48264,-1.86049473285675,2.80393028259277,0.312993705272675,1.31522655487061
1761155979.55132,-1.77059197425842,2.82600665092468,0.265322685241699,1.330690741539
1761155979.61595,-1.69188261032105,2.84182071685791,0.224496558308601,1.34638094902039
1761155979.68265,-1.5982152223587,2.85707330703735,0.181549534201622,1.36525237560272
1761155979.75151,-1.50268065929413,2.86902928352356,0.141300410032272,1.38468456268311
1761155979.81588,-1.41934323310852,2.87644052505493,0.106806211173534,1.4034321308136
1761155979.8826,-1.32040214538574,2.88237452507019,0.0722535625100136,1.42730724811554
1761155979.95146,-1.21980106830597,2.88537287712097,0.0396211445331573,1.44781744480133
1761155980.01594,-1.13251912593842,2.88590550422668,0.0158190131187439,1.4610435962677
1761155980.08284,-1.02984261512756,2.8844587802887,6.27468776702881,1.47230041027069
1761155980.15187,-0.92655885219574,2.88063621520996,6.2509880065918,1.48030436038971
1761155980.2159,-0.837704479694366,2.87601161003113,6.23575496673584,1.48529648780823
1761155980.28283,-0.733795404434204,2.86928081512451,6.2208399772644,1.48954510688782
1761155980.35306,-0.629705786705017,2.86150431632996,6.21060705184937,1.49256610870361
1761155980.41591,-0.540367722511292,2.85448861122131,6.20575189590454,1.49445033073425
1761155980.48259,-0.436057031154633,2.84581518173218,6.2007622718811,1.49605393409729
1761155980.55218,-0.331642210483551,2.83724761009216,6.20135736465454,1.49719417095184
1761155980.6162,-0.242054209113121,2.83033990859985,6.20496129989624,1.4979053735733
1761155980.68256,-0.137454763054848,2.8227334022522,6.20973777770996,1.49851059913635
1761155980.75216,-0.032781358808279,2.81567144393921,6.21520090103149,1.49894094467163
1761155980.81596,0.0570264421403408,2.81071925163269,6.22538757324219,1.4992094039917
1761155980.88283,0.161888152360916,2.80636215209961,6.23945903778076,1.49943780899048
1761155980.95232,0.266814023256302,2.80345869064331,6.25331115722656,1.49960029125214
1761155981.01621,0.356771200895309,2.80147099494934,6.25972938537598,1.49970161914825
1761155981.08263,0.461736917495728,2.79961085319519,6.26503658294678,1.4997878074646
