# time,x,y,theta,velocity
1.762311300877309322e+09,2.780603408813476562e+01,-6.600551128387451172e+00,-4.624440968036651611e-01,3.999995946884155273e+00
1.762311300898034811e+09,2.787528228759765625e+01,-6.641103744506835938e+00,-4.595434069633483887e-01,3.999996423721313477e+00
1.762311300917276144e+09,2.794217300415039062e+01,-6.681152820587158203e+00,-4.574511051177978516e-01,3.999996662139892578e+00
1.762311300937671900e+09,2.801554679870605469e+01,-6.728359699249267578e+00,-4.541443288326263428e-01,3.999996900558471680e+00
1.762311300957548618e+09,2.808428001403808594e+01,-6.768277168273925781e+00,-4.530408680438995361e-01,3.999997138977050781e+00
1.762311300977335691e+09,2.815097999572753906e+01,-6.806678771972656250e+00,-4.532354772090911865e-01,3.999997615814208984e+00
1.762311300997232437e+09,2.822831344604492188e+01,-6.852835655212402344e+00,-4.528176784515380859e-01,3.999997854232788086e+00
1.762311301017371178e+09,2.830026245117187500e+01,-6.893306732177734375e+00,-4.535976052284240723e-01,3.999997854232788086e+00
1.762311301037516594e+09,2.837009429931640625e+01,-6.928265571594238281e+00,-4.559024870395660400e-01,3.999998092651367188e+00
1.762311301057925224e+09,2.843550491333007812e+01,-6.957497119903564453e+00,-4.589312076568603516e-01,3.999998331069946289e+00
1.762311301077307463e+09,2.850449180603027344e+01,-6.999566555023193359e+00,-4.604128003120422363e-01,3.999998569488525391e+00
1.762311301097676516e+09,2.857496452331542969e+01,-7.037119865417480469e+00,-4.640633165836334229e-01,3.999998569488525391e+00
1.762311301117604256e+09,2.864302444458007812e+01,-7.069508075714111328e+00,-4.679416418075561523e-01,3.999998807907104492e+00
1.762311301137614727e+09,2.870878982543945312e+01,-7.112025260925292969e+00,-4.709506928920745850e-01,3.999998807907104492e+00
1.762311301157101154e+09,2.877705192565917969e+01,-7.148978233337402344e+00,-4.754382073879241943e-01,3.999999046325683594e+00
1.762311301177553892e+09,2.884331703186035156e+01,-7.182124614715576172e+00,-4.803633093833923340e-01,3.999999046325683594e+00
1.762311301197212696e+09,2.891921424865722656e+01,-7.227128505706787109e+00,-4.827847778797149658e-01,3.999999046325683594e+00
1.762311301218090534e+09,2.899005126953125000e+01,-7.266262054443359375e+00,-4.857038855552673340e-01,3.999999284744262695e+00
1.762311301237241745e+09,2.905736732482910156e+01,-7.300733089447021484e+00,-4.899783134460449219e-01,3.999999284744262695e+00
1.762311301257908344e+09,2.912284851074218750e+01,-7.333853244781494141e+00,-4.942391812801361084e-01,3.999999284744262695e+00
1.762311301277241945e+09,2.919554710388183594e+01,-7.374255180358886719e+00,-4.967568516731262207e-01,3.999999523162841797e+00
1.762311301297710419e+09,2.926466560363769531e+01,-7.409114837646484375e+00,-5.006197690963745117e-01,3.999999523162841797e+00
1.762311301317134857e+09,2.933563995361328125e+01,-7.442657470703125000e+00,-5.054101943969726562e-01,3.999999523162841797e+00
1.762311301337837696e+09,2.941720199584960938e+01,-7.485832691192626953e+00,-5.090852975845336914e-01,3.999999523162841797e+00
1.762311301357689857e+09,2.948983383178710938e+01,-7.523574829101562500e+00,-5.127936005592346191e-01,3.999999523162841797e+00
1.762311301377323627e+09,2.955871391296386719e+01,-7.559584140777587891e+00,-5.174854397773742676e-01,3.999999761581420898e+00
1.762311301397584677e+09,2.963424301147460938e+01,-7.605970859527587891e+00,-5.195598602294921875e-01,3.999999761581420898e+00
1.762311301417364120e+09,2.970654678344726562e+01,-7.648544788360595703e+00,-5.236402153968811035e-01,3.999999761581420898e+00
1.762311301437260389e+09,2.977390289306640625e+01,-7.686046123504638672e+00,-5.292184948921203613e-01,3.999999761581420898e+00
1.762311301457484245e+09,2.984102439880371094e+01,-7.720426082611083984e+00,-5.374292135238647461e-01,3.999999761581420898e+00
1.762311301477284193e+09,2.991317939758300781e+01,-7.763073921203613281e+00,-5.431398153305053711e-01,3.999999761581420898e+00
1.762311301497301817e+09,2.998859786987304688e+01,-7.805992126464843750e+00,-5.510974526405334473e-01,3.999999761581420898e+00
1.762311301517352104e+09,3.006002998352050781e+01,-7.842689990997314453e+00,-5.594351887702941895e-01,3.999999761581420898e+00
1.762311301537624359e+09,3.013023376464843750e+01,-7.885122776031494141e+00,-5.675155520439147949e-01,3.999999761581420898e+00
1.762311301557374001e+09,3.019326210021972656e+01,-7.923041343688964844e+00,-5.749167203903198242e-01,3.999999761581420898e+00
1.762311301578073025e+09,3.025979995727539062e+01,-7.959974288940429688e+00,-5.832131505012512207e-01,3.999999761581420898e+00
1.762311301597130775e+09,3.032505607604980469e+01,-8.007610321044921875e+00,-5.902079343795776367e-01,3.999999761581420898e+00
1.762311301617700577e+09,3.038903617858886719e+01,-8.051250457763671875e+00,-5.978948473930358887e-01,4.000000000000000000e+00
1.762311301637227297e+09,3.045422363281250000e+01,-8.090943336486816406e+00,-6.070159077644348145e-01,4.000000000000000000e+00
1.762311301657775402e+09,3.052039909362792969e+01,-8.129779815673828125e+00,-6.169278025627136230e-01,4.000000000000000000e+00
1.762311301677216291e+09,3.058905601501464844e+01,-8.178926467895507812e+00,-6.259323358535766602e-01,4.000000000000000000e+00
1.762311301697701454e+09,3.064621734619140625e+01,-8.221047401428222656e+00,-6.332687735557556152e-01,4.000000000000000000e+00
1.762311301717205763e+09,3.070599365234375000e+01,-8.261853218078613281e+00,-6.419051289558410645e-01,4.000000000000000000e+00
1.762311301738519192e+09,3.076621818542480469e+01,-8.304453849792480469e+00,-6.480582356452941895e-01,4.000000000000000000e+00
1.762311301757422924e+09,3.082450485229492188e+01,-8.345068931579589844e+00,-6.551781296730041504e-01,4.000000000000000000e+00
1.762311301777342796e+09,3.088025665283203125e+01,-8.382637023925781250e+00,-6.632363200187683105e-01,4.000000000000000000e+00
1.762311301797300577e+09,3.096758460998535156e+01,-8.426455497741699219e+00,-6.658031344413757324e-01,4.000000000000000000e+00
1.762311301817703485e+09,3.104228401184082031e+01,-8.469788551330566406e+00,-6.730397939682006836e-01,4.000000000000000000e+00
1.762311301837266684e+09,3.111582183837890625e+01,-8.516896247863769531e+00,-6.826316118240356445e-01,4.000000000000000000e+00
1.762311301857493401e+09,3.118908500671386719e+01,-8.565563201904296875e+00,-6.948004364967346191e-01,4.000000000000000000e+00
1.762311301877271891e+09,3.125964546203613281e+01,-8.623483657836914062e+00,-7.044124007225036621e-01,4.000000000000000000e+00
1.762311301897351265e+09,3.132931709289550781e+01,-8.681309700012207031e+00,-7.153587341308593750e-01,4.000000000000000000e+00
1.762311301917304039e+09,3.139524841308593750e+01,-8.738802909851074219e+00,-7.278037667274475098e-01,4.000000000000000000e+00
1.762311301937542439e+09,3.145937728881835938e+01,-8.798913002014160156e+00,-7.373095750808715820e-01,4.000000000000000000e+00
1.762311301957222700e+09,3.152042198181152344e+01,-8.854049682617187500e+00,-7.480898499488830566e-01,4.000000000000000000e+00
1.762311301978088856e+09,3.158177566528320312e+01,-8.910381317138671875e+00,-7.604936957359313965e-01,4.000000000000000000e+00
1.762311301997730732e+09,3.164333152770996094e+01,-8.968777656555175781e+00,-7.697389721870422363e-01,4.000000000000000000e+00
1.762311302017737389e+09,3.170366096496582031e+01,-9.024897575378417969e+00,-7.814201712608337402e-01,4.000000000000000000e+00
1.762311302037265778e+09,3.176371574401855469e+01,-9.082876205444335938e+00,-7.939354777336120605e-01,4.000000000000000000e+00
1.762311302057762384e+09,3.181949996948242188e+01,-9.138428688049316406e+00,-8.059827089309692383e-01,4.000000000000000000e+00
1.762311302077157259e+09,3.188902282714843750e+01,-9.199485778808593750e+00,-8.189977407455444336e-01,4.000000000000000000e+00
1.762311302097721815e+09,3.195274734497070312e+01,-9.259068489074707031e+00,-8.325050473213195801e-01,4.000000000000000000e+00
1.762311302117136478e+09,3.201023101806640625e+01,-9.314962387084960938e+00,-8.461862802505493164e-01,4.000000000000000000e+00
1.762311302137627363e+09,3.206967163085937500e+01,-9.379441261291503906e+00,-8.605855107307434082e-01,4.000000000000000000e+00
1.762311302157312393e+09,3.212456512451171875e+01,-9.441442489624023438e+00,-8.756418228149414062e-01,4.000000000000000000e+00
1.762311302177932501e+09,3.218011093139648438e+01,-9.501418113708496094e+00,-8.923389911651611328e-01,4.000000000000000000e+00
1.762311302197508574e+09,3.224112319946289062e+01,-9.561042785644531250e+00,-9.091330170631408691e-01,4.000000000000000000e+00
1.762311302217782736e+09,3.230261230468750000e+01,-9.622659683227539062e+00,-9.268757700920104980e-01,4.000000000000000000e+00
1.762311302237250566e+09,3.236257934570312500e+01,-9.689248085021972656e+00,-9.455359578132629395e-01,4.000000000000000000e+00
1.762311302257495642e+09,3.242285919189453125e+01,-9.756639480590820312e+00,-9.649760723114013672e-01,4.000000000000000000e+00
1.762311302277271271e+09,3.247578048706054688e+01,-9.822312355041503906e+00,-9.878152608871459961e-01,4.000000000000000000e+00
1.762311302297391891e+09,3.252644729614257812e+01,-9.887935638427734375e+00,-1.007933378219604492e+00,4.000000000000000000e+00
1.762311302317245245e+09,3.258043670654296875e+01,-9.958500862121582031e+00,-1.027653217315673828e+00,4.000000000000000000e+00
1.762311302337757349e+09,3.262636566162109375e+01,-1.002261638641357422e+01,-1.046336293220520020e+00,4.000000000000000000e+00
1.762311302357739449e+09,3.267242431640625000e+01,-1.008763790130615234e+01,-1.063658356666564941e+00,4.000000000000000000e+00
1.762311302377599955e+09,3.271765518188476562e+01,-1.015464210510253906e+01,-1.079373717308044434e+00,4.000000000000000000e+00
1.762311302397441864e+09,3.276173019409179688e+01,-1.021808147430419922e+01,-1.098535656929016113e+00,4.000000000000000000e+00
1.762311302417715788e+09,3.280395889282226562e+01,-1.028291797637939453e+01,-1.115296483039855957e+00,4.000000000000000000e+00
1.762311302437242985e+09,3.284752655029296875e+01,-1.035223865509033203e+01,-1.132075786590576172e+00,4.000000000000000000e+00
1.762311302458057642e+09,3.288938903808593750e+01,-1.042180919647216797e+01,-1.147869229316711426e+00,4.000000000000000000e+00
1.762311302477138996e+09,3.293017196655273438e+01,-1.049203205108642578e+01,-1.163209438323974609e+00,4.000000000000000000e+00
1.762311302497756243e+09,3.296736145019531250e+01,-1.056085968017578125e+01,-1.177872300148010254e+00,4.000000000000000000e+00
1.762311302517164469e+09,3.300059890747070312e+01,-1.062715053558349609e+01,-1.191500544548034668e+00,4.000000000000000000e+00
1.762311302537663221e+09,3.303497695922851562e+01,-1.069238567352294922e+01,-1.205377459526062012e+00,4.000000000000000000e+00
1.762311302557328463e+09,3.306771087646484375e+01,-1.075582122802734375e+01,-1.219054222106933594e+00,4.000000000000000000e+00
1.762311302578209162e+09,3.310116577148437500e+01,-1.083109188079833984e+01,-1.234712719917297363e+00,4.000000000000000000e+00
1.762311302597316504e+09,3.313381958007812500e+01,-1.090114688873291016e+01,-1.250439286231994629e+00,4.000000000000000000e+00
1.762311302617732763e+09,3.316612243652343750e+01,-1.096729469299316406e+01,-1.265312194824218750e+00,4.000000000000000000e+00
1.762311302637265205e+09,3.319683837890625000e+01,-1.103615379333496094e+01,-1.279785037040710449e+00,4.000000000000000000e+00
1.762311302657515526e+09,3.322610092163085938e+01,-1.110854434967041016e+01,-1.294605374336242676e+00,4.000000000000000000e+00
1.762311302677273512e+09,3.324691009521484375e+01,-1.117444133758544922e+01,-1.306132197380065918e+00,4.000000000000000000e+00
1.762311302697386980e+09,3.327368164062500000e+01,-1.125314998626708984e+01,-1.321500539779663086e+00,4.000000000000000000e+00
1.762311302717226028e+09,3.330143737792968750e+01,-1.133268642425537109e+01,-1.338435411453247070e+00,4.000000000000000000e+00
1.762311302737516165e+09,3.333264541625976562e+01,-1.141728591918945312e+01,-1.356647849082946777e+00,4.000000000000000000e+00
1.762311302757406712e+09,3.336077499389648438e+01,-1.150013923645019531e+01,-1.374477267265319824e+00,4.000000000000000000e+00
1.762311302777734756e+09,3.338631439208984375e+01,-1.158014488220214844e+01,-1.391385316848754883e+00,4.000000000000000000e+00
1.762311302797589779e+09,3.341074752807617188e+01,-1.166161823272705078e+01,-1.408720850944519043e+00,4.000000000000000000e+00
1.762311302817679882e+09,3.343305206298828125e+01,-1.174116230010986328e+01,-1.424975156784057617e+00,4.000000000000000000e+00
1.762311302837310076e+09,3.345183944702148438e+01,-1.181418609619140625e+01,-1.439371705055236816e+00,4.000000000000000000e+00
1.762311302857682705e+09,3.347191619873046875e+01,-1.189606285095214844e+01,-1.454786658287048340e+00,4.000000000000000000e+00
1.762311302877380610e+09,3.348877716064453125e+01,-1.197559738159179688e+01,-1.470651388168334961e+00,4.000000000000000000e+00
1.762311302897596598e+09,3.350284576416015625e+01,-1.205215358734130859e+01,-1.485304236412048340e+00,4.000000000000000000e+00
1.762311302917115450e+09,3.351720809936523438e+01,-1.212786102294921875e+01,-1.499482274055480957e+00,4.000000000000000000e+00
1.762311302937714815e+09,3.353094863891601562e+01,-1.219941520690917969e+01,-1.513615965843200684e+00,4.000000000000000000e+00
1.762311302957401037e+09,3.354321670532226562e+01,-1.227644348144531250e+01,-1.528134465217590332e+00,4.000000000000000000e+00
1.762311302978122234e+09,3.355455017089843750e+01,-1.235332393646240234e+01,-1.542655467987060547e+00,4.000000000000000000e+00
1.762311302997216702e+09,3.356343460083007812e+01,-1.242892932891845703e+01,-1.556155681610107422e+00,4.000000000000000000e+00
1.762311303017735720e+09,3.357149505615234375e+01,-1.250661849975585938e+01,-1.570104837417602539e+00,4.000000000000000000e+00
1.762311303037234306e+09,3.357826995849609375e+01,-1.258246898651123047e+01,-1.582797646522521973e+00,4.000000000000000000e+00
1.762311303057677031e+09,3.358249282836914062e+01,-1.265542316436767578e+01,-1.595447778701782227e+00,4.000000000000000000e+00
1.762311303077206850e+09,3.359037399291992188e+01,-1.273617839813232422e+01,-1.609209179878234863e+00,4.000000000000000000e+00
1.762311303097519398e+09,3.359582519531250000e+01,-1.281480312347412109e+01,-1.622818946838378906e+00,4.000000000000000000e+00
1.762311303117135048e+09,3.360018157958984375e+01,-1.290079307556152344e+01,-1.637862205505371094e+00,4.000000000000000000e+00
1.762311303137438536e+09,3.360242843627929688e+01,-1.298711299896240234e+01,-1.653208971023559570e+00,4.000000000000000000e+00
1.762311303157565832e+09,3.360190582275390625e+01,-1.306925487518310547e+01,-1.667632937431335449e+00,4.000000000000000000e+00
1.762311303177675247e+09,3.360141372680664062e+01,-1.315414619445800781e+01,-1.682952880859375000e+00,4.000000000000000000e+00
1.762311303197502136e+09,3.359872436523437500e+01,-1.323724269866943359e+01,-1.697672486305236816e+00,4.000000000000000000e+00
1.762311303217692852e+09,3.359492874145507812e+01,-1.331695556640625000e+01,-1.711467504501342773e+00,4.000000000000000000e+00
1.762311303237321854e+09,3.358627700805664062e+01,-1.340580177307128906e+01,-1.726231455802917480e+00,4.000000000000000000e+00
1.762311303257485628e+09,3.357894134521484375e+01,-1.349239921569824219e+01,-1.740897774696350098e+00,4.000000000000000000e+00
1.762311303277238846e+09,3.356980514526367188e+01,-1.358255290985107422e+01,-1.758004665374755859e+00,4.000000000000000000e+00
