# time,x,y,theta
1.761389445211444616e+09,3.096373081207275391e+00,2.565140724182128906e+00,-3.992446064949035645e-01
1.761389445230864525e+09,3.115198373794555664e+00,2.549399852752685547e+00,-4.248248636722564697e-01
1.761389445250883818e+09,3.124357223510742188e+00,2.535882711410522461e+00,-4.476294219493865967e-01
1.761389445270540237e+09,3.133557558059692383e+00,2.522053241729736328e+00,-4.612716734409332275e-01
1.761389445291132689e+09,3.152785539627075195e+00,2.503485918045043945e+00,-4.809923470020294189e-01
1.761389445310338497e+09,3.164069890975952148e+00,2.491963386535644531e+00,-4.992725551128387451e-01
1.761389445331100225e+09,3.184688329696655273e+00,2.483819723129272461e+00,-5.108545422554016113e-01
1.761389445351511002e+09,3.211161851882934570e+00,2.476269006729125977e+00,-5.348942279815673828e-01
1.761389445371608973e+09,3.237869501113891602e+00,2.466054916381835938e+00,-5.560083389282226562e-01
1.761389445390448332e+09,3.257185220718383789e+00,2.453211784362792969e+00,-5.652592182159423828e-01
1.761389445410883427e+09,3.271975994110107422e+00,2.446271896362304688e+00,-5.740920901298522949e-01
1.761389445430874825e+09,3.288260459899902344e+00,2.431317567825317383e+00,-5.852311849594116211e-01
1.761389445451025009e+09,3.306303977966308594e+00,2.413394451141357422e+00,-5.974429845809936523e-01
1.761389445470504761e+09,3.320032119750976562e+00,2.394407510757446289e+00,-6.086937785148620605e-01
1.761389445490664482e+09,3.387684345245361328e+00,2.372190475463867188e+00,-6.176733374595642090e-01
1.761389445510696888e+09,3.433927059173583984e+00,2.356575965881347656e+00,-6.258721351623535156e-01
1.761389445531591177e+09,3.456681728363037109e+00,2.341046810150146484e+00,-6.359534859657287598e-01
1.761389445551681757e+09,3.478773117065429688e+00,2.322930574417114258e+00,-6.462854743003845215e-01
1.761389445571312904e+09,3.502054452896118164e+00,2.298227548599243164e+00,-6.605831980705261230e-01
1.761389445590602875e+09,3.521313905715942383e+00,2.279474496841430664e+00,-6.726221442222595215e-01
1.761389445611031055e+09,3.536184787750244141e+00,2.256859064102172852e+00,-6.827889084815979004e-01
1.761389445630728006e+09,3.557005643844604492e+00,2.230300426483154297e+00,-6.970685124397277832e-01
1.761389445650849819e+09,3.572485685348510742e+00,2.208306312561035156e+00,-7.099338769912719727e-01
1.761389445670629263e+09,3.582723855972290039e+00,2.188652515411376953e+00,-7.232904434204101562e-01
1.761389445691317558e+09,3.643278360366821289e+00,2.152360677719116211e+00,-7.521995902061462402e-01
1.761389445711548090e+09,3.681242704391479492e+00,2.123668193817138672e+00,-7.622079849243164062e-01
1.761389445731096029e+09,3.696426868438720703e+00,2.102718830108642578e+00,-7.759541869163513184e-01
1.761389445751481533e+09,3.717828512191772461e+00,2.085812807083129883e+00,-7.909204959869384766e-01
1.761389445771157503e+09,3.735409498214721680e+00,2.067406415939331055e+00,-8.054661154747009277e-01
1.761389445790697575e+09,3.753126144409179688e+00,2.046486854553222656e+00,-8.249467611312866211e-01
1.761389445811589003e+09,3.769960641860961914e+00,2.020507097244262695e+00,-8.432014584541320801e-01
1.761389445830502510e+09,3.799367427825927734e+00,1.978107094764709473e+00,-8.871728181838989258e-01
1.761389445851185560e+09,3.813278436660766602e+00,1.954558610916137695e+00,-9.155165553092956543e-01
1.761389445870812416e+09,3.823571920394897461e+00,1.935531973838806152e+00,-9.345684051513671875e-01
1.761389445891649485e+09,3.840535640716552734e+00,1.905441164970397949e+00,-9.557979702949523926e-01
1.761389445910860300e+09,3.851724147796630859e+00,1.883390069007873535e+00,-9.721611738204956055e-01
1.761389445931033611e+09,3.863008737564086914e+00,1.850649118423461914e+00,-9.903888702392578125e-01
1.761389445950898170e+09,3.883626699447631836e+00,1.850992202758789062e+00,-1.013372421264648438e+00
1.761389445971507311e+09,3.897045135498046875e+00,1.837699055671691895e+00,-1.033400177955627441e+00
1.761389445990605593e+09,3.905337810516357422e+00,1.823450446128845215e+00,-1.052453160285949707e+00
1.761389446011090517e+09,3.914356470108032227e+00,1.806831002235412598e+00,-1.065797328948974609e+00
1.761389446031475782e+09,3.951387643814086914e+00,1.770542144775390625e+00,-1.086606383323669434e+00
1.761389446050818920e+09,3.973537921905517578e+00,1.739888072013854980e+00,-1.103321075439453125e+00
1.761389446071183681e+09,3.982650518417358398e+00,1.711234807968139648e+00,-1.116874694824218750e+00
1.761389446091102362e+09,4.000180721282958984e+00,1.694446563720703125e+00,-1.149634242057800293e+00
1.761389446110923767e+09,4.014749526977539062e+00,1.682521343231201172e+00,-1.179621815681457520e+00
1.761389446131300449e+09,4.022488117218017578e+00,1.652977228164672852e+00,-1.202562451362609863e+00
1.761389446150768995e+09,4.028334140777587891e+00,1.622977018356323242e+00,-1.229846000671386719e+00
1.761389446171662569e+09,4.029136180877685547e+00,1.604220867156982422e+00,-1.244139194488525391e+00
1.761389446190539122e+09,4.032051086425781250e+00,1.595180630683898926e+00,-1.253239274024963379e+00
