# time,state
1.761490692807409286e+09,1.000000000000000000e+00
1.761490694698339939e+09,2.000000000000000000e+00
1.761490694831738710e+09,1.000000000000000000e+00
1.761490696431697130e+09,2.000000000000000000e+00
1.761490700407330036e+09,0.000000000000000000e+00
1.761490702498352766e+09,1.000000000000000000e+00
1.761490702607117176e+09,2.000000000000000000e+00
1.761490702631773949e+09,1.000000000000000000e+00
1.761490705167400599e+09,2.000000000000000000e+00
1.761490705831831694e+09,1.000000000000000000e+00
1.761490706431695223e+09,2.000000000000000000e+00
1.761490710431722641e+09,0.000000000000000000e+00
1.761490712407528400e+09,1.000000000000000000e+00
1.761490712698424578e+09,2.000000000000000000e+00
1.761490712767505169e+09,1.000000000000000000e+00
1.761490712898355722e+09,2.000000000000000000e+00
1.761490713031698704e+09,0.000000000000000000e+00
1.761490713207817316e+09,1.000000000000000000e+00
1.761490714031760454e+09,2.000000000000000000e+00
1.761490714098359108e+09,1.000000000000000000e+00
1.761490714431695700e+09,2.000000000000000000e+00
1.761490714498411655e+09,0.000000000000000000e+00
1.761490714631808996e+09,1.000000000000000000e+00
1.761490715168373108e+09,2.000000000000000000e+00
1.761490720898358107e+09,0.000000000000000000e+00
1.761490721031748772e+09,1.000000000000000000e+00
1.761490721098364353e+09,2.000000000000000000e+00
1.761490721207570791e+09,0.000000000000000000e+00
1.761490722031740904e+09,1.000000000000000000e+00
1.761490723298415422e+09,2.000000000000000000e+00
1.761490728298346043e+09,0.000000000000000000e+00
1.761490730031765461e+09,1.000000000000000000e+00
1.761490730098367453e+09,2.000000000000000000e+00
1.761490736968053341e+09,0.000000000000000000e+00
1.761490739431978703e+09,1.000000000000000000e+00
1.761490739498342037e+09,2.000000000000000000e+00
1.761490739567769051e+09,1.000000000000000000e+00
1.761490739631744385e+09,2.000000000000000000e+00
1.761490739698421240e+09,0.000000000000000000e+00
1.761490739989129066e+09,1.000000000000000000e+00
1.761490741408332586e+09,2.000000000000000000e+00
1.761490746407932043e+09,0.000000000000000000e+00
1.761490748298390150e+09,1.000000000000000000e+00
1.761490749098617554e+09,2.000000000000000000e+00
1.761490749207347870e+09,1.000000000000000000e+00
1.761490749231717110e+09,2.000000000000000000e+00
1.761490749329043627e+09,0.000000000000000000e+00
1.761490749768151522e+09,1.000000000000000000e+00
1.761490751298354387e+09,2.000000000000000000e+00
1.761490755498354912e+09,1.000000000000000000e+00
1.761490755767677784e+09,2.000000000000000000e+00
1.761490755831789494e+09,0.000000000000000000e+00
1.761490757698370695e+09,1.000000000000000000e+00
1.761490757767696857e+09,2.000000000000000000e+00
1.761490764207491398e+09,0.000000000000000000e+00
1.761490766631777763e+09,1.000000000000000000e+00
1.761490766698339939e+09,2.000000000000000000e+00
1.761490766768366814e+09,1.000000000000000000e+00
1.761490767031683683e+09,2.000000000000000000e+00
1.761490767098450184e+09,0.000000000000000000e+00
1.761490767807880402e+09,1.000000000000000000e+00
1.761490769488341808e+09,2.000000000000000000e+00
1.761490769698354006e+09,1.000000000000000000e+00
1.761490771031768799e+09,2.000000000000000000e+00
1.761490774631664753e+09,0.000000000000000000e+00
1.761490776831991673e+09,1.000000000000000000e+00
1.761490777231731415e+09,2.000000000000000000e+00
1.761490777298356056e+09,1.000000000000000000e+00
1.761490777831758976e+09,2.000000000000000000e+00
1.761490777898342133e+09,0.000000000000000000e+00
1.761490778631804943e+09,1.000000000000000000e+00
1.761490780831685066e+09,2.000000000000000000e+00
1.761490784432119846e+09,0.000000000000000000e+00
1.761490786431904316e+09,1.000000000000000000e+00
1.761490786498459101e+09,2.000000000000000000e+00
