# time,state
1.761334029519277096e+09,2.000000000000000000e+00
1.761334030189792871e+09,0.000000000000000000e+00
1.761334030653029919e+09,1.000000000000000000e+00
1.761334032387473822e+09,0.000000000000000000e+00
1.761334035206834555e+09,0.000000000000000000e+00
1.761334039187480688e+09,1.000000000000000000e+00
1.761334040452559948e+09,2.000000000000000000e+00
1.761334044252567530e+09,0.000000000000000000e+00
1.761334044319376945e+09,1.000000000000000000e+00
1.761334046652577400e+09,2.000000000000000000e+00
1.761334047719264507e+09,0.000000000000000000e+00
1.761334047787836790e+09,1.000000000000000000e+00
1.761334052588104725e+09,0.000000000000000000e+00
1.761334053046693563e+09,1.000000000000000000e+00
1.761334058319266796e+09,2.000000000000000000e+00
1.761334058387890100e+09,0.000000000000000000e+00
1.761334058452609539e+09,1.000000000000000000e+00
1.761334064919395208e+09,2.000000000000000000e+00
1.761334068519247055e+09,0.000000000000000000e+00
1.761334069388167858e+09,1.000000000000000000e+00
1.761334079588300705e+09,2.000000000000000000e+00
1.761334080387220621e+09,1.000000000000000000e+00
1.761334080387555361e+09,2.000000000000000000e+00
1.761334080452899933e+09,0.000000000000000000e+00
1.761334080519227028e+09,1.000000000000000000e+00
1.761334081588521242e+09,0.000000000000000000e+00
1.761334082247504711e+09,1.000000000000000000e+00
1.761334092788486481e+09,2.000000000000000000e+00
1.761334096787834406e+09,0.000000000000000000e+00
1.761334096987247229e+09,1.000000000000000000e+00
1.761334104852584124e+09,0.000000000000000000e+00
1.761334105646800280e+09,1.000000000000000000e+00
1.761334106452882767e+09,2.000000000000000000e+00
1.761334107267658472e+09,0.000000000000000000e+00
1.761334111187526464e+09,1.000000000000000000e+00
1.761334112588335514e+09,2.000000000000000000e+00
1.761334116052637577e+09,1.000000000000000000e+00
1.761334122919350147e+09,2.000000000000000000e+00
1.761334123047836065e+09,0.000000000000000000e+00
1.761334123452671528e+09,1.000000000000000000e+00
1.761334126252645254e+09,2.000000000000000000e+00
1.761334126919214249e+09,1.000000000000000000e+00
1.761334126987909794e+09,2.000000000000000000e+00
1.761334127052590609e+09,0.000000000000000000e+00
1.761334127719353914e+09,1.000000000000000000e+00
1.761334127867312908e+09,0.000000000000000000e+00
1.761334130587556362e+09,1.000000000000000000e+00
1.761334131052564621e+09,2.000000000000000000e+00
1.761334131452590466e+09,0.000000000000000000e+00
1.761334131668536425e+09,0.000000000000000000e+00
1.761334131852674484e+09,1.000000000000000000e+00
1.761334133719303370e+09,2.000000000000000000e+00
1.761334134119320631e+09,1.000000000000000000e+00
1.761334137788224459e+09,2.000000000000000000e+00
1.761334140788646221e+09,0.000000000000000000e+00
1.761334142188285828e+09,1.000000000000000000e+00
1.761334147252569437e+09,2.000000000000000000e+00
1.761334147319207191e+09,0.000000000000000000e+00
1.761334149588471651e+09,1.000000000000000000e+00
1.761334152519236565e+09,2.000000000000000000e+00
1.761334153919258595e+09,1.000000000000000000e+00
1.761334154189562798e+09,2.000000000000000000e+00
1.761334154252616882e+09,0.000000000000000000e+00
1.761334154446871042e+09,1.000000000000000000e+00
1.761334157719234228e+09,2.000000000000000000e+00
1.761334160387944698e+09,1.000000000000000000e+00
1.761334161387903452e+09,2.000000000000000000e+00
1.761334161852665901e+09,0.000000000000000000e+00
1.761334161988769770e+09,1.000000000000000000e+00
1.761334162852560520e+09,2.000000000000000000e+00
1.761334163252636671e+09,0.000000000000000000e+00
1.761334163319385767e+09,1.000000000000000000e+00
1.761334163452585459e+09,2.000000000000000000e+00
1.761334163519258976e+09,0.000000000000000000e+00
1.761334163652709246e+09,1.000000000000000000e+00
1.761334164387804031e+09,2.000000000000000000e+00
1.761334164646849155e+09,0.000000000000000000e+00
1.761334165052517414e+09,1.000000000000000000e+00
1.761334167252704144e+09,0.000000000000000000e+00
1.761334167519233227e+09,1.000000000000000000e+00
