# x,y,theta,velocity
3.410118341445922852e+00,6.982208788394927979e-02,-2.642305135726928711e+00,1.770735383033752441e+00
3.321485519409179688e+00,2.463587000966072083e-02,-2.697314023971557617e+00,1.795563578605651855e+00
3.230576038360595703e+00,-1.577900908887386322e-02,-2.748620748519897461e+00,1.822361946105957031e+00
3.137776374816894531e+00,-5.164543166756629944e-02,-2.796362876892089844e+00,1.850966691970825195e+00
3.043424367904663086e+00,-8.320631086826324463e-02,-2.840653657913208008e+00,1.881265282630920410e+00
2.944131135940551758e+00,-9.094390273094177246e-02,2.856477737426757812e+00,2.000000000000000000e+00
2.847683191299438477e+00,-6.201283633708953857e-02,2.843092918395996094e+00,2.000000000000000000e+00
2.751654148101806641e+00,-3.172009810805320740e-02,2.829919815063476562e+00,2.000000000000000000e+00
2.656001806259155273e+00,-2.582595916464924812e-04,2.818679332733154297e+00,2.000000000000000000e+00
2.560678005218505859e+00,3.218550980091094971e-02,2.809335470199584961e+00,2.000000000000000000e+00
2.465630054473876953e+00,6.542930006980895996e-02,2.801851749420166016e+00,2.000000000000000000e+00
2.370801687240600586e+00,9.929643571376800537e-02,2.796191692352294922e+00,2.000000000000000000e+00
2.276134729385375977e+00,1.336145102977752686e-01,2.792320966720581055e+00,2.000000000000000000e+00
2.181571006774902344e+00,1.682148873805999756e-01,2.790208578109741211e+00,2.000000000000000000e+00
2.087050914764404297e+00,2.029322385787963867e-01,2.789827108383178711e+00,2.000000000000000000e+00
1.992514848709106445e+00,2.376042306423187256e-01,2.791151523590087891e+00,2.000000000000000000e+00
1.897903919219970703e+00,2.720708549022674561e-01,2.794158458709716797e+00,2.000000000000000000e+00
1.803160548210144043e+00,3.061738908290863037e-01,2.798826932907104492e+00,2.000000000000000000e+00
1.708230018615722656e+00,3.397563099861145020e-01,2.805139303207397461e+00,2.000000000000000000e+00
1.613060951232910156e+00,3.726615309715270996e-01,2.813081741333007812e+00,2.000000000000000000e+00
1.517606019973754883e+00,4.047327935695648193e-01,2.822644233703613281e+00,2.000000000000000000e+00
1.421822667121887207e+00,4.358127415180206299e-01,2.833815097808837891e+00,2.000000000000000000e+00
1.325673818588256836e+00,4.657439589500427246e-01,2.846575260162353516e+00,2.000000000000000000e+00
1.229127645492553711e+00,4.943699240684509277e-01,2.860896110534667969e+00,2.000000000000000000e+00
1.132158637046813965e+00,5.215360522270202637e-01,2.876744985580444336e+00,2.000000000000000000e+00
1.034748196601867676e+00,5.470893383026123047e-01,2.894093990325927734e+00,2.000000000000000000e+00
9.368866682052612305e-01,5.708772540092468262e-01,2.912923812866210938e+00,2.000000000000000000e+00
8.385749459266662598e-01,5.927466154098510742e-01,2.933215141296386719e+00,2.000000000000000000e+00
7.398250102996826172e-01,6.125453114509582520e-01,2.954917669296264648e+00,2.000000000000000000e+00
6.406583189964294434e-01,6.301279067993164062e-01,2.977931261062622070e+00,2.000000000000000000e+00
5.411044359207153320e-01,6.453617215156555176e-01,3.002113103866577148e+00,2.000000000000000000e+00
4.412002563476562500e-01,6.581300497055053711e-01,3.027338027954101562e+00,2.000000000000000000e+00
3.409921526908874512e-01,6.683254837989807129e-01,3.053567647933959961e+00,2.000000000000000000e+00
2.405395954847335815e-01,6.758390069007873535e-01,3.080838203430175781e+00,2.000000000000000000e+00
1.399172097444534302e-01,6.805567145347595215e-01,3.109048366546630859e+00,2.000000000000000000e+00
3.920900449156761169e-02,6.823934316635131836e-01,3.137643814086914062e+00,2.000000000000000000e+00
-6.150275096297264099e-02,6.813520789146423340e-01,-3.117693901062011719e+00,2.000000000000000000e+00
-1.621486246585845947e-01,6.775802969932556152e-01,-3.092041015625000000e+00,2.000000000000000000e+00
-2.626785933971405029e-01,6.713753342628479004e-01,-3.069759845733642578e+00,2.000000000000000000e+00
-3.630626797676086426e-01,6.631232500076293945e-01,-3.051371097564697266e+00,2.000000000000000000e+00
-4.632905125617980957e-01,6.532265543937683105e-01,-3.036741971969604492e+00,2.000000000000000000e+00
-5.633704066276550293e-01,6.420435309410095215e-01,-3.025402784347534180e+00,2.000000000000000000e+00
-6.633254885673522949e-01,6.298793554306030273e-01,-3.016956567764282227e+00,2.000000000000000000e+00
-7.631886601448059082e-01,6.170092225074768066e-01,-3.011243343353271484e+00,2.000000000000000000e+00
-8.629971742630004883e-01,6.037038564682006836e-01,-3.008312940597534180e+00,2.000000000000000000e+00
-9.627888798713684082e-01,5.902479290962219238e-01,-3.008319616317749023e+00,2.000000000000000000e+00
-1.062601804733276367e+00,5.769433379173278809e-01,-3.011425256729125977e+00,2.000000000000000000e+00
-1.162474989891052246e+00,5.641075372695922852e-01,-3.017780065536499023e+00,2.000000000000000000e+00
-1.262448430061340332e+00,5.520725846290588379e-01,-3.027554273605346680e+00,2.000000000000000000e+00
-1.362559914588928223e+00,5.411907434463500977e-01,-3.041002750396728516e+00,2.000000000000000000e+00
-1.462837100028991699e+00,5.318472385406494141e-01,-3.058506011962890625e+00,2.000000000000000000e+00
-1.563289880752563477e+00,5.244742631912231445e-01,-3.080583333969116211e+00,2.000000000000000000e+00
-1.663900971412658691e+00,5.195652842521667480e-01,-3.107912778854370117e+00,2.000000000000000000e+00
-1.764617085456848145e+00,5.176910161972045898e-01,-3.141348361968994141e+00,2.000000000000000000e+00
-1.865338921546936035e+00,5.195160508155822754e-01,3.101262092590332031e+00,2.000000000000000000e+00
-1.965905904769897461e+00,5.258134603500366211e-01,3.052399873733520508e+00,2.000000000000000000e+00
-2.066049575805664062e+00,5.374656319618225098e-01,2.994039773941040039e+00,2.000000000000000000e+00
-2.165317058563232422e+00,5.554525852203369141e-01,2.924874067306518555e+00,1.992388606071472168e+00
-2.262999057769775391e+00,5.808292627334594727e-01,2.843795537948608398e+00,1.964822411537170410e+00
-2.358111619949340820e+00,6.146258711814880371e-01,2.750685453414916992e+00,1.948162078857421875e+00
-2.449442625045776367e+00,6.576656103134155273e-01,2.646909952163696289e+00,1.941070914268493652e+00
-2.535619735717773438e+00,7.103769779205322266e-01,2.535296201705932617e+00,1.940256118774414062e+00
-2.615266799926757812e+00,7.726513743400573730e-01,2.420154333114624023e+00,1.940256118774414062e+00
-2.687238454818725586e+00,8.437432646751403809e-01,2.306950330734252930e+00,1.940256118774414062e+00
-2.750840425491333008e+00,9.222809672355651855e-01,2.200504064559936523e+00,1.945182919502258301e+00
-2.805955171585083008e+00,1.006666302680969238e+00,2.103663206100463867e+00,1.958527922630310059e+00
-2.853078842163085938e+00,1.095632910728454590e+00,2.017795324325561523e+00,1.981712937355041504e+00
-2.892928600311279297e+00,1.188103437423706055e+00,1.942831873893737793e+00,2.000000000000000000e+00
-2.926239728927612305e+00,1.283125400543212891e+00,1.877804875373840332e+00,2.000000000000000000e+00
-2.953761339187622070e+00,1.379985213279724121e+00,1.819962143898010254e+00,2.000000000000000000e+00
-2.974534273147583008e+00,1.543375015258789062e+00,1.551390528678894043e+00,1.764174461364746094e+00
-2.969314813613891602e+00,1.642718791961669922e+00,1.484978318214416504e+00,1.747922420501708984e+00
-2.957437515258789062e+00,1.741487145423889160e+00,1.416961073875427246e+00,1.732053756713867188e+00
-2.938783645629882812e+00,1.839201211929321289e+00,1.347017288208007812e+00,1.716922640800476074e+00
-2.913240432739257812e+00,1.935343384742736816e+00,1.274801254272460938e+00,1.702943444252014160e+00
-2.880705833435058594e+00,2.029348373413085938e+00,1.199936509132385254e+00,1.690613627433776855e+00
-2.841096162796020508e+00,2.120595932006835938e+00,1.122017264366149902e+00,1.680515408515930176e+00
-2.794353961944580078e+00,2.208401441574096680e+00,1.040580272674560547e+00,1.673411726951599121e+00
-2.740462541580200195e+00,2.292006254196166992e+00,9.551848769187927246e-01,1.670025348663330078e+00
-2.679484844207763672e+00,2.370588779449462891e+00,8.660013675689697266e-01,1.670025348663330078e+00
-2.611719846725463867e+00,2.443400382995605469e+00,7.772997021675109863e-01,1.670025348663330078e+00
-2.537934541702270508e+00,2.510108947753906250e+00,6.938647627830505371e-01,1.674356818199157715e+00
-2.459022045135498047e+00,2.570672273635864258e+00,6.162366867065429688e-01,1.684267640113830566e+00
-2.375793218612670898e+00,2.625158071517944336e+00,5.438885688781738281e-01,1.698585748672485352e+00
-2.288961887359619141e+00,2.673702955245971680e+00,4.764650166034698486e-01,1.716577529907226562e+00
-2.199153900146484375e+00,2.716497182846069336e+00,4.136286377906799316e-01,1.737691640853881836e+00
-2.106914520263671875e+00,2.753767728805541992e+00,3.550677001476287842e-01,1.761420488357543945e+00
-2.012714624404907227e+00,2.785768032073974609e+00,3.005399107933044434e-01,1.787410974502563477e+00
-1.916961431503295898e+00,2.812772512435913086e+00,2.498511672019958496e-01,1.815407752990722656e+00
-1.820002555847167969e+00,2.835071086883544922e+00,2.028495222330093384e-01,1.845236301422119141e+00
-1.722133636474609375e+00,2.852965116500854492e+00,1.594177633523941040e-01,1.876786947250366211e+00
-1.623602867126464844e+00,2.866765499114990234e+00,1.194681525230407715e-01,1.910001993179321289e+00
-1.524615406990051270e+00,2.876789331436157227e+00,8.293846994638442993e-02,1.944868087768554688e+00
-1.425337910652160645e+00,2.883359432220458984e+00,4.978810623288154602e-02,1.981409430503845215e+00
-1.325901985168457031e+00,2.886802434921264648e+00,1.999466679990291595e-02,2.000000000000000000e+00
-1.226407766342163086e+00,2.887448549270629883e+00,-6.449051201343536377e-03,2.000000000000000000e+00
-1.126927495002746582e+00,2.885630369186401367e+00,-2.953802421689033508e-02,2.000000000000000000e+00
-1.027508378028869629e+00,2.881683588027954102e+00,-4.925780743360519409e-02,2.000000000000000000e+00
-9.281760454177856445e-01,2.875945091247558594e+00,-6.558723002672195435e-02,2.000000000000000000e+00
-8.289378881454467773e-01,2.868754625320434570e+00,-7.850106805562973022e-02,2.000000000000000000e+00
-7.297862768173217773e-01,2.860453605651855469e+00,-8.797253668308258057e-02,2.000000000000000000e+00
-6.307017207145690918e-01,2.851385593414306641e+00,-9.397577494382858276e-02,2.000000000000000000e+00
