# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time,n
0.0373555292982103,-0.1428262949490972,1.3555751510850238,0.3604248489149759,3.1154605099669155,0.0404064321880397,0.0000000000000000,2.7582246556676653,-1.3191701849532589,0.0000000000000000,0.0000000000000000
-0.0622803831381651,-0.1404248084283256,1.3521698361285948,0.3600001390722865,3.1195495309935670,0.0416491136016279,0.0996648492927096,2.7101390104168837,-1.3196110432411878,0.0364514342419628,0.0000000000000000
-0.1619247195430777,-0.1384014491885030,1.3504518528458216,0.3615773334822618,3.1226943541378587,0.0214588793430597,0.1993297265574148,2.6611681101463396,-1.4104236505871806,0.0735615361324890,0.0000000000000000
-0.2615730293877613,-0.1365821967529432,1.3451013301066037,0.3649247321090217,3.1235557924595918,-0.0041722065648039,0.2989946418201409,2.6078106149065365,-1.3855622441427617,0.1113923646339748,0.0000000000000000
-0.3612205652172347,-0.1347214854265077,1.3151054404971672,0.3717510580429000,3.1218620108153141,-0.0298172940294697,0.3986595486004439,2.5543085834365464,-1.2955364808717154,0.1500063148164088,0.0000000000000000
-0.4608620687102196,-0.1325646461823295,1.2489582093701228,0.3685552218701603,3.1176119666396076,-0.0554694135048244,0.4983243928228063,2.5032485806081430,-1.2124627372749492,0.1894185610806338,0.0000000000000000
-0.5604900085832821,-0.1298569695580514,1.1838024004604260,0.3687353109942046,3.1108046026229244,-0.0811359969663892,0.5979891203649625,2.4545007475219136,-1.1356541979094270,0.2296241951076158,0.0000000000000000
-0.6600926240772332,-0.1263437333959484,1.1251861065799234,0.3723819567656933,3.1014381867472847,-0.1068233185464922,0.6976536769614106,2.4079462152262781,-1.0644744815965008,0.2706177760597538,0.0000000000000000
-0.7596519644249621,-0.1217702598590318,1.0710263031222871,0.3779909932240166,3.0895101052651057,-0.1325429681708508,0.7973180081469846,2.3634772478019976,-0.9983484609364289,0.3123932889471889,0.0000000000000000
-0.8591419221033764,-0.1158820186121118,1.0220817537756632,0.3880918350060475,3.0750165930896194,-0.1583066310343239,0.8969820591575400,2.3209967249015131,-0.9367318837640635,0.3549440861514424,0.0000000000000000
-0.9585262584584187,-0.1084248139573331,0.9800963092713091,0.4055356278445845,3.0579523707337155,-0.1841331863338135,0.9966457747916435,2.2804186977013301,-0.8791177727445471,0.3982628072321518,0.0000000000000000
-1.0577566177758859,-0.0991450498377629,0.9473168048892271,0.4302668367001148,3.0383101064229256,-0.2100451182138195,1.0963090992013205,2.2416685386709441,-0.8250172323639323,0.4423412688805959,0.0000000000000000
-1.1567705266605639,-0.0877901045661871,0.9164645273660083,0.4577345717200484,3.0160798345108204,-0.2360729839495440,1.1959719756134721,2.2046837996259603,-0.7739546970100979,0.4871703192254123,0.0000000000000000
-1.2554893724670084,-0.0741088202157157,0.8719187331642987,0.4784670342191401,2.9912481457528677,-0.2622555287723954,1.2956343459386606,2.1694152062425678,-0.7254672454753630,0.5327396445614304,0.0000000000000000
-1.3538163541913670,-0.0578521319414596,0.8238689529491926,0.5011270835507430,2.9637974478892342,-0.2886381631910182,1.3952961503005559,2.1358276118866488,-0.6790824900948390,0.5790375230189350,0.0000000000000000
-1.4516343994947993,-0.0387738710360889,0.7887560038388977,0.5207838714516236,2.9337050045865682,-0.3152789401749735,1.4949573264232454,2.1039019151098923,-0.6343183826501892,0.6260505107522777,0.0000000000000000
