# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time,n
0.7597852651215162,0.2759415140415871,2.0061316282533479,0.1525716862389427,-3.0767410219803883,-3.6342299714025601,0.0000000000000000,1.0814047234375230,0.0000000000000000,0.0000000000000000,0.0000000000000000
0.7612085287596058,0.2230311448427740,1.9816647997114758,0.1436653956873070,3.0272770483657951,-3.1474560759430563,0.0529295082929949,1.0814047234375230,0.6362217090351870,0.0489451425038582,0.0000000000000000
0.7720061479954858,0.1686353895107147,1.9258444827769390,0.1208097990993574,2.8696102611800050,-2.5436922139913287,0.1083865797925638,1.1135538431023757,1.2247357043127736,0.0994764576229319,0.0000000000000000
0.7918230093506069,0.1129079047129934,1.8506547233729671,0.0917711769749542,2.7358017941766533,-1.9836250903383386,0.1675326748103108,1.1768087483384424,1.6797336766285937,0.1511242580531157,0.0000000000000000
0.8203039993464196,0.0560023471171949,1.7708347401187983,0.0739558608911196,2.6241558206330371,-1.5265540191251818,0.2311676437851624,1.2643806511341589,2.0224511407713353,0.2032586553174979,0.0000000000000000
0.8570940045043749,-0.0019276266090964,1.7049963384874847,0.0865960919673454,2.5314071671808289,-1.1771433166890763,0.2997926125316119,1.3697590020203363,2.2815612957614184,0.2553629305515525,0.0000000000000000
0.9018379113459233,-0.0607283597982957,1.6473989050955211,0.1233117008482805,2.4540516319002195,-0.9170427984202526,0.3736813357783467,1.4877509959404167,2.4814164239094865,0.3070783914244559,0.0000000000000000
0.9541806063925150,-0.1202461957828185,1.5971784631810344,0.1476453554153105,2.3889896720762538,-0.7248951477492178,0.4529412280632915,1.6145453300753185,2.6380659224515814,0.3581759552646825,0.0000000000000000
1.0137669761656010,-0.1803274778950803,1.5485248886627065,0.1628537424901933,2.3336804159763842,-0.5824868239709220,0.5375597598573857,1.7473451728653357,2.7623120969676940,0.4085158052509198,0.0000000000000000
1.0802419071866320,-0.2408185494674963,1.5046269097364744,0.1741476946673266,2.2861141973099279,-0.4760488172965570,0.6274379340390522,1.8840802235378844,2.8613349137822528,0.4580160231381920,0.0000000000000000
1.1532502859770581,-0.3015657538324820,1.4618526527093527,0.1944921550569892,2.2447221366195294,-0.3956321915089079,0.7224139637084782,2.0231843089688244,2.9400474163870389,0.5066311239993021,0.0000000000000000
1.2324369990583306,-0.3624154343224529,1.4131507165977681,0.2473021581951233,2.2082820388406303,-0.3341807852837456,0.8222799696581872,2.1634454773837795,3.0018525373293605,0.5543382349911782,0.0000000000000000
1.3174469329518996,-0.4232139342698245,1.3910401741375247,0.2746123926352545,2.1758376059279225,-0.2867060393065349,0.9267938273826034,2.3039024961149215,3.0491355211502120,0.6011283477580437,0.0000000000000000
1.4079249741792161,-0.4838075970070120,1.3537564709784229,0.3021013398783534,2.1466346219216499,-0.2496675063676640,1.0356876651707905,2.4437738948751431,3.0835635910772119,0.6470008246584664,0.0000000000000000
1.5035160092617303,-0.5440427658664307,1.3254436312962319,0.3339944692285483,2.1200721889886336,-0.2205330333394220,1.1486740429146103,2.5824082192152167,3.1062789336020895,0.6919599507621843,0.0000000000000000
1.6038649247208927,-0.6037657841804962,1.2990994698403784,0.3478841766602979,2.0956659983041845,-0.1974748119120190,1.2654505120784463,2.7192485695276960,3.1180223532745015,0.7360127719149187,0.0000000000000000
1.7086166070781545,-0.6628229952816241,1.2666072699170112,0.3773433958208421,2.0730207453796567,-0.1791609283008610,1.3857030344624690,2.8538067363681918,3.1192135243279879,0.7791677437512126,0.0000000000000000
1.8174159428549661,-0.7210607425022295,1.2492390050747306,0.3915738814849930,2.0518093467039114,-0.1646124188829066,1.5091085880927919,2.9856438890568051,3.1100021120374963,0.8214338956707150,0.0000000000000000
