# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time,n
0.0122563300775156,0.3755249330569608,0.8361910701296058,0.8798089298703942,-3.0335947161175021,0.3291822859771220,0.0000000000000000,2.5374695148053532,-0.2406437759103010,0.0000000000000000,0.0000000000000000
-0.0868461992917170,0.3632644081087920,0.8466812098926827,0.8654918282281280,-3.0047535027611021,0.2484924080950631,0.0998580582596331,2.5279816253638350,-0.5620161577678005,0.0394271133987476,0.0000000000000000
-0.1856011161322825,0.3484659683020520,0.8613054384925615,0.8506945615074385,-2.9814477223153477,0.2182901203984508,0.1997155938836446,2.5056831406197473,-0.6895463298432821,0.0791029918159308,0.0000000000000000
-0.2840134717873984,0.3315345706016022,0.8788274438873211,0.8345022113643897,-2.9616490034036813,0.1782542397075512,0.2995738132432939,2.4780504966319343,-0.8536384085555120,0.1191766500922249,0.0000000000000000
-0.3821062724363681,0.3128342101494599,0.8802232491336107,0.8241129369134934,-2.9452429056077936,0.1503317790730042,0.3994332195112992,2.4434088103643115,-0.9699324136775186,0.1597578679948284,0.0000000000000000
-0.4799087487496668,0.2926660337831745,0.8368989124392742,0.7980036449210519,-2.9317100033806414,0.1207072213905148,0.4992935204869869,2.4034415177104091,-1.0876545019361492,0.2009641335967434,0.0000000000000000
-0.5774655401919724,0.2713402185938459,0.7938633416659909,0.7733446079840159,-2.9217441910238069,0.0788878413348784,0.5991540129252225,2.3578175715525789,-1.2411899943944393,0.2429112280799772,0.0000000000000000
-0.6748452531761427,0.2492190986318611,0.7591580291761684,0.7510919112898695,-2.9151101707729818,0.0539776225718470,0.6990146781005152,2.3046499916090961,-1.3307852018034489,0.2857472001580655,0.0000000000000000
-0.7721054401149763,0.2265771745078184,0.7299360638039393,0.7284893626483784,-2.9110817529061395,0.0267029706335230,0.7988755848228946,2.2462468141355645,-1.4205549769225314,0.3296334542239996,0.0000000000000000
-0.8693073452211199,0.2036859462809841,0.7070417980600026,0.7081994206301299,-2.9100852772618619,-0.0067457480143663,0.8987365816434588,2.1821797996375958,-1.4041524924005533,0.3747334436920331,0.0000000000000000
-0.9665231727980207,0.1808539987372957,0.6920266573227206,0.6940914808667615,-2.9122374676404355,-0.0363579238758695,0.9985975598086032,2.1169479434265943,-1.3326200067042495,0.4211898339801566,0.0000000000000000
-1.0638216712873190,0.1583776817237526,0.6898569828939654,0.6872263159031866,-2.9174231996582916,-0.0675012907355707,1.0984583761219364,2.0531233649657188,-1.2708945935495304,0.4690838909054483,0.0000000000000000
-1.1612690548211595,0.1365572630728224,0.6946028278075052,0.6839709110561933,-2.9257024636744609,-0.0983152263916785,1.1983188949854657,1.9903495081775802,-1.1811569305316654,0.5184773316414067,0.0000000000000000
-1.2589314489911874,0.1157212272585432,0.6822632242996296,0.6689268970327379,-2.9378755447429468,-0.1454876818779585,1.2981792155511229,1.9301786822106020,-1.1191417767329057,0.5694196106998668,0.0000000000000000
-1.3568834381198522,0.0962935712825779,0.6658526055795385,0.6568298773896043,-2.9543702843271782,-0.1848727534900143,1.3980392475508301,1.8713830922573662,-1.0578420693393920,0.6219559302043328,0.0000000000000000
-1.4551775126133888,0.0786843985008603,0.6679896926532138,0.6401804856901635,-2.9750047715908061,-0.2284049941108680,1.4978981882952487,1.8140575241564174,-0.9830633200324708,0.6761469760725954,0.0000000000000000
-1.5538489176574062,0.0633415113454630,0.6849138244004219,0.6119154391609281,-3.0005866659810350,-0.2839752648280294,1.5977553380624225,1.7591113945939625,-0.9049241078644813,0.7320397435503201,0.0000000000000000
-1.6529149622748311,0.0508151944183503,0.6810712512762134,0.5721075007339198,-3.0320974237285521,-0.3471756079240870,1.6976101817701772,1.7069712322924313,-0.8176397642692854,0.7896580143515877,0.0000000000000000
-1.7523543828524277,0.0417489071477199,0.6773693725623111,0.5486246606881889,-3.0704838424403351,-0.4217317604082431,1.7974620517060063,1.6584526128537964,-0.7239309053061351,0.8489978624838460,0.0000000000000000
-1.8520842443278189,0.0368932823188071,0.6791673764064564,0.5411352526709655,-3.1168100353504409,-0.5062583812385099,1.8973100479922607,1.6142797057488398,-0.6083396191440460,0.9100159883591004,0.0000000000000000
-1.9519271875722224,0.0371143616031005,0.6795463417716290,0.5420275148377058,3.1106522438935253,-0.6101103292985937,1.9971532360010333,1.5762048834012006,-0.5199420055920686,0.9726040907108945,0.0000000000000000
-2.0515680785768104,0.0433887211555951,0.6708090084879030,0.5454091708810581,3.0452649820123874,-0.6998529198017581,2.0969914789141684,1.5429198430079591,-0.2615409051499997,1.0366209234254182,0.0000000000000000
-2.1504995504265052,0.0567908332811366,0.6584331043743974,0.5582162859129611,2.9652176974208828,-0.9042032388268170,2.1968266066587279,1.5259029138826459,-0.2186369270611546,1.1016850445255333,0.0000000000000000
-2.2478665363047274,0.0787997438917808,0.6417241972604040,0.5798935119818481,2.8725380437696821,-0.9533927862199096,2.2966500612436964,1.5115321749395139,-0.0522340220138386,1.1674138266498466,0.0000000000000000
-2.3426431361994942,0.1100763703250044,0.6274913824289284,0.6120530763319856,2.7709986904882227,-1.0821756251940406,2.3964540253365927,1.5080793052629504,0.0000000000000000,1.2335176712982336,0.0000000000000000
-2.4335530832716730,0.1512432644022791,0.6116858673128436,0.6563807162229742,2.6611232298983185,-1.1212225397797355,2.4962504763989219,1.5080793052629504,0.0000000000000000,1.2996922091451864,0.0000000000000000
-2.5193888367742026,0.2021715546022125,0.5954613808261298,0.7198350085678934,2.5519678064839653,-1.0674859790735114,2.5960576270547526,1.5080793052629504,0.0718901361679429,1.3658738418401779,0.0000000000000000
-2.5994307599362121,0.2618063686918023,0.5871080379084055,0.8082824072776208,2.4531401503332253,-0.9134933671254512,2.6958725583775411,1.5128300000235195,0.2701936441551506,1.4319565482280301,0.0000000000000000
-2.6736108573880299,0.3285945365852805,0.5888273141574012,0.9185672358557285,2.3650521449395030,-0.8519458331017277,2.7956891212743300,1.5305535634937486,0.3260215432505632,1.4975523305627614,0.0000000000000000
-2.7418790342573782,0.4014252163966893,0.6016778404886942,1.0273143402981655,2.2840197728900540,-0.7720283537577255,2.8955132260529686,1.5516713015682437,0.4065881281263298,1.5623263877123073,0.0000000000000000
-2.8043242888994175,0.4793176670321191,0.6168288220793570,1.0793198764331773,2.2101844110443403,-0.7074497546456731,2.9953463052066338,1.5776139317548006,0.4642662109944530,1.6261320632643890,0.0000000000000000
-2.8611161470177060,0.5614329093302743,0.6073499700282334,0.9865574078599136,2.1425537912453287,-0.6475571930756895,3.0951873196556696,1.6067269016939478,0.5166381832524389,1.6888395557540699,0.0000000000000000
-2.9124601495445344,0.6470670144144548,0.6232854422743780,0.8979708813542012,2.0799246985143744,-0.6071432133494992,3.1950342352266747,1.6385178652535224,0.5411634393305789,1.7503738453016180,0.0000000000000000
-2.9585409564614271,0.7356477977845345,0.6471747117916625,0.8287498858384266,2.0219071106200492,-0.5551125654490423,3.2948841022699962,1.6711705447639658,0.5880444274710263,1.8107117712170029,0.0000000000000000
-2.9996097620880975,0.8266621154419729,0.6650107970942992,0.7762828680815124,1.9679270577225845,-0.5262100303569026,3.3947352555645391,1.7059439669079146,0.5991764622667238,1.8698457762674332,0.0000000000000000
-3.0358253649466556,0.9197156373397987,0.6728247262186882,0.7235059885581191,1.9162652145611008,-0.5086698187444952,3.4945877859681196,1.7406617678517293,0.5933997598614620,1.9277883076086595,0.0000000000000000
