# time,state
1.761334222959668398e+09,1.000000000000000000e+00
1.761334223431740522e+09,0.000000000000000000e+00
1.761334223964641333e+09,1.000000000000000000e+00
1.761334227701912880e+09,2.000000000000000000e+00
1.761334230431281328e+09,1.000000000000000000e+00
1.761334232364639282e+09,2.000000000000000000e+00
1.761334236099999666e+09,1.000000000000000000e+00
1.761334239631292582e+09,2.000000000000000000e+00
1.761334243440517426e+09,0.000000000000000000e+00
1.761334243499917269e+09,1.000000000000000000e+00
1.761334244564587593e+09,2.000000000000000000e+00
1.761334246959000826e+09,0.000000000000000000e+00
1.761334247038868189e+09,0.000000000000000000e+00
1.761334247301049471e+09,1.000000000000000000e+00
1.761334248631477594e+09,0.000000000000000000e+00
1.761334248958885908e+09,1.000000000000000000e+00
1.761334252500294685e+09,0.000000000000000000e+00
1.761334253901013136e+09,1.000000000000000000e+00
1.761334257100412369e+09,2.000000000000000000e+00
1.761334257299906015e+09,0.000000000000000000e+00
1.761334258038922787e+09,1.000000000000000000e+00
1.761334259539541960e+09,0.000000000000000000e+00
1.761334262499523640e+09,1.000000000000000000e+00
1.761334266500102520e+09,2.000000000000000000e+00
1.761334266958648682e+09,1.000000000000000000e+00
1.761334267038744926e+09,2.000000000000000000e+00
1.761334267099481344e+09,0.000000000000000000e+00
1.761334267239118099e+09,1.000000000000000000e+00
1.761334267300595522e+09,0.000000000000000000e+00
1.761334267638815641e+09,1.000000000000000000e+00
1.761334271899816513e+09,2.000000000000000000e+00
1.761334275299883604e+09,1.000000000000000000e+00
1.761334284831309795e+09,2.000000000000000000e+00
1.761334288239655256e+09,1.000000000000000000e+00
1.761334300431300163e+09,2.000000000000000000e+00
1.761334300501499653e+09,0.000000000000000000e+00
1.761334301299674511e+09,1.000000000000000000e+00
1.761334310101304770e+09,2.000000000000000000e+00
1.761334310164830446e+09,0.000000000000000000e+00
1.761334310564660549e+09,1.000000000000000000e+00
1.761334311164679766e+09,0.000000000000000000e+00
1.761334311438776255e+09,1.000000000000000000e+00
1.761334314158788919e+09,2.000000000000000000e+00
1.761334314238954067e+09,1.000000000000000000e+00
1.761334314700247526e+09,2.000000000000000000e+00
1.761334315038859367e+09,1.000000000000000000e+00
1.761334315100491762e+09,2.000000000000000000e+00
1.761334315158813238e+09,0.000000000000000000e+00
1.761334315299954414e+09,1.000000000000000000e+00
1.761334318231315374e+09,0.000000000000000000e+00
1.761334318558683634e+09,1.000000000000000000e+00
1.761334323639556885e+09,2.000000000000000000e+00
1.761334327238682032e+09,1.000000000000000000e+00
1.761334332359441042e+09,2.000000000000000000e+00
1.761334332439336777e+09,0.000000000000000000e+00
1.761334332500068188e+09,1.000000000000000000e+00
1.761334338431317091e+09,2.000000000000000000e+00
1.761334339159454107e+09,0.000000000000000000e+00
1.761334339358848572e+09,1.000000000000000000e+00
1.761334339631286383e+09,2.000000000000000000e+00
1.761334339764979362e+09,0.000000000000000000e+00
1.761334347299301863e+09,1.000000000000000000e+00
1.761334347831790924e+09,2.000000000000000000e+00
1.761334351499359608e+09,0.000000000000000000e+00
1.761334351699310064e+09,1.000000000000000000e+00
1.761334353100376844e+09,0.000000000000000000e+00
1.761334353499617100e+09,1.000000000000000000e+00
1.761334376364681244e+09,2.000000000000000000e+00
1.761334379440517426e+09,1.000000000000000000e+00
1.761334388831295729e+09,2.000000000000000000e+00
1.761334392439323425e+09,1.000000000000000000e+00
1.761334397779844046e+09,0.000000000000000000e+00
1.761334403165826559e+09,1.000000000000000000e+00
1.761334404231351376e+09,2.000000000000000000e+00
1.761334404301403522e+09,0.000000000000000000e+00
1.761334406299295664e+09,1.000000000000000000e+00
1.761334408631291389e+09,0.000000000000000000e+00
1.761334412500334501e+09,1.000000000000000000e+00
1.761334414565102100e+09,2.000000000000000000e+00
1.761334415300056934e+09,1.000000000000000000e+00
1.761334415358757257e+09,2.000000000000000000e+00
1.761334415438695431e+09,0.000000000000000000e+00
1.761334415499426365e+09,1.000000000000000000e+00
1.761334416764872074e+09,2.000000000000000000e+00
1.761334417159450054e+09,0.000000000000000000e+00
1.761334417438881636e+09,1.000000000000000000e+00
1.761334417964592218e+09,2.000000000000000000e+00
1.761334418639309645e+09,0.000000000000000000e+00
1.761334419039022446e+09,1.000000000000000000e+00
1.761334420700680256e+09,0.000000000000000000e+00
1.761334421159361124e+09,1.000000000000000000e+00
1.761334427100334883e+09,2.000000000000000000e+00
1.761334431559134722e+09,0.000000000000000000e+00
1.761334434838777065e+09,1.000000000000000000e+00
1.761334439364658117e+09,0.000000000000000000e+00
1.761334440159645796e+09,1.000000000000000000e+00
1.761334441700826645e+09,2.000000000000000000e+00
1.761334441939512730e+09,0.000000000000000000e+00
1.761334444699443340e+09,1.000000000000000000e+00
1.761334445631244898e+09,2.000000000000000000e+00
1.761334446839439869e+09,1.000000000000000000e+00
1.761334447431294441e+09,0.000000000000000000e+00
1.761334451359263659e+09,1.000000000000000000e+00
1.761334451439043760e+09,2.000000000000000000e+00
1.761334453238930941e+09,1.000000000000000000e+00
1.761334455100605488e+09,2.000000000000000000e+00
1.761334455838957787e+09,0.000000000000000000e+00
1.761334456039370060e+09,1.000000000000000000e+00
1.761334466631354809e+09,2.000000000000000000e+00
1.761334470501204252e+09,1.000000000000000000e+00
