# x,y,theta,velocity
3.822180271148681641e+00,2.024589300155639648e+00,-9.103876352310180664e-01,1.794285893440246582e+00
3.880444288253784180e+00,1.943958520889282227e+00,-9.803717732429504395e-01,1.786318898200988770e+00
3.932760000228881836e+00,1.859349966049194336e+00,-1.054343700408935547e+00,1.782377839088439941e+00
3.978563547134399414e+00,1.771047115325927734e+00,-1.130164504051208496e+00,1.778511881828308105e+00
4.017581462860107422e+00,1.679542660713195801e+00,-1.205093860626220703e+00,1.773871421813964844e+00
4.060377120971679688e+00,1.587069511413574219e+00,-1.288077473640441895e+00,2.000000000000000000e+00
4.086052417755126953e+00,1.490732192993164062e+00,-1.326001882553100586e+00,2.000000000000000000e+00
4.108703136444091797e+00,1.393613576889038086e+00,-1.356642365455627441e+00,2.000000000000000000e+00
4.128428936004638672e+00,1.295888900756835938e+00,-1.385975360870361328e+00,2.000000000000000000e+00
4.145345211029052734e+00,1.197617769241333008e+00,-1.414757490158081055e+00,2.000000000000000000e+00
4.159417152404785156e+00,1.098908066749572754e+00,-1.444159865379333496e+00,1.911080718040466309e+00
4.170526027679443359e+00,9.998406171798706055e-01,-1.474754333496093750e+00,1.811831355094909668e+00
4.178544998168945312e+00,9.003612995147705078e-01,-1.510057806968688965e+00,1.709186911582946777e+00
4.182623863220214844e+00,8.009043931961059570e-01,-1.554720997810363770e+00,1.603821396827697754e+00
4.181738853454589844e+00,7.017004489898681641e-01,-1.608120679855346680e+00,1.493563890457153320e+00
4.175203323364257812e+00,6.021796464920043945e-01,-1.672798156738281250e+00,1.382259368896484375e+00
4.161332130432128906e+00,5.023334026336669922e-01,-1.767868518829345703e+00,1.285665750503540039e+00
4.135736465454101562e+00,4.045145809650421143e-01,-1.926518440246582031e+00,1.224843502044677734e+00
4.091515064239501953e+00,3.144138157367706299e-01,-2.166246652603149414e+00,1.205284118652343750e+00
4.024239063262939453e+00,2.399374395608901978e-01,-2.458148956298828125e+00,1.205284118652343750e+00
3.937414646148681641e+00,1.889185905456542969e-01,-2.754484176635742188e+00,1.205284118652343750e+00
3.840150356292724609e+00,1.648884117603302002e-01,-3.012597799301147461e+00,1.216993808746337891e+00
3.739879846572875977e+00,1.632953733205795288e-01,3.089244604110717773e+00,1.264692187309265137e+00
3.640259981155395508e+00,1.753618717193603516e-01,2.982753038406372070e+00,1.352882027626037598e+00
3.542433500289916992e+00,1.949241161346435547e-01,2.917572259902954102e+00,1.464519262313842773e+00
3.446202516555786133e+00,2.195768207311630249e-01,2.869080305099487305e+00,1.580632686614990234e+00
3.350991010665893555e+00,2.484255731105804443e-01,2.831032752990722656e+00,1.693680405616760254e+00
3.256450891494750977e+00,2.804766297340393066e-01,2.804204940795898438e+00,1.804999828338623047e+00
3.162457704544067383e+00,3.145630657672882080e-01,2.788021326065063477e+00,1.917144417762756348e+00
3.068946123123168945e+00,3.496810793876647949e-01,2.779772043228149414e+00,2.000000000000000000e+00
2.975789546966552734e+00,3.852137625217437744e-01,2.776342630386352539e+00,2.000000000000000000e+00
2.882805585861206055e+00,4.208628237247467041e-01,2.775713682174682617e+00,2.000000000000000000e+00
2.789804220199584961e+00,4.564702808856964111e-01,2.777293682098388672e+00,2.000000000000000000e+00
2.696635007858276367e+00,4.918531775474548340e-01,2.781424283981323242e+00,2.000000000000000000e+00
2.603199481964111328e+00,5.267447233200073242e-01,2.788547515869140625e+00,2.000000000000000000e+00
2.509434223175048828e+00,5.608335733413696289e-01,2.798757791519165039e+00,2.000000000000000000e+00
2.415289163589477539e+00,5.938155055046081543e-01,2.811781883239746094e+00,2.000000000000000000e+00
2.320710897445678711e+00,6.254360675811767578e-01,2.827189207077026367e+00,2.000000000000000000e+00
2.225638866424560547e+00,6.554878354072570801e-01,2.844710350036621094e+00,2.000000000000000000e+00
2.130014896392822266e+00,6.837745308876037598e-01,2.864398241043090820e+00,2.000000000000000000e+00
2.033793687820434570e+00,7.100714445114135742e-01,2.886620283126831055e+00,2.000000000000000000e+00
1.936951994895935059e+00,7.340953946113586426e-01,2.911818265914916992e+00,2.000000000000000000e+00
